season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
14-15,1,10,2015-01-16,2015-02-01,1,573473,795.7283489096573,24.289188084112148
14-15,1,11,2015-02-16,2015-03-01,1,167766,795.7283489096573,24.289188084112148
14-15,1,12,2015-03-16,2015-04-01,1,1509111,795.7283489096573,24.289188084112148
15-16,1,1,2015-04-16,2015-05-01,1,22419779,963.035124610592,24.23226051401869
15-16,1,2,2015-05-16,2015-06-01,1,40913611,963.035124610592,24.23226051401869
15-16,1,3,2015-06-16,2015-07-01,1,51559852,963.035124610592,24.23226051401869
15-16,1,4,2015-07-16,2015-08-01,1,46975159,963.035124610592,24.23226051401869
15-16,1,5,2015-08-16,2015-09-01,1,56700999,963.035124610592,24.23226051401869
15-16,1,6,2015-09-16,2015-10-01,1,40025712,963.035124610592,24.23226051401869
15-16,1,7,2015-10-16,2015-11-01,1,46093055,963.035124610592,24.23226051401869
15-16,1,8,2015-11-16,2015-12-01,1,26382747,963.035124610592,24.23226051401869
15-16,1,9,2015-12-16,2016-01-01,1,19726736,963.035124610592,24.23226051401869
15-16,1,10,2016-01-16,2016-02-01,1,3549332,963.035124610592,24.23226051401869
15-16,1,11,2016-02-16,2016-03-01,1,2125136,963.035124610592,24.23226051401869
15-16,1,12,2016-03-16,2016-04-01,1,11850513,963.035124610592,24.23226051401869
16-17,1,1,2016-04-16,2016-05-01,1,43810763,1334.855046728972,24.29186331775701
16-17,1,2,2016-05-16,2016-06-01,1,43889437,1334.855046728972,24.29186331775701
16-17,1,3,2016-06-16,2016-07-01,1,41351162,1334.855046728972,24.29186331775701
16-17,1,4,2016-07-16,2016-08-01,1,58180942,1334.855046728972,24.29186331775701
16-17,1,5,2016-08-16,2016-09-01,1,50535926,1334.855046728972,24.29186331775701
16-17,1,6,2016-09-16,2016-10-01,1,48160320,1334.855046728972,24.29186331775701
16-17,1,7,2016-10-16,2016-11-01,1,39456393,1334.855046728972,24.29186331775701
16-17,1,8,2016-11-16,2016-12-01,1,26082913,1334.855046728972,24.29186331775701
16-17,1,9,2016-12-16,2017-01-01,1,6848360,1334.855046728972,24.29186331775701
16-17,1,10,2017-01-16,2017-02-01,1,697362,1334.855046728972,24.29186331775701
16-17,1,11,2017-02-16,2017-03-01,1,554974,1334.855046728972,24.29186331775701
16-17,1,12,2017-03-16,2017-04-01,1,6421087,1334.855046728972,24.29186331775701
17-18,1,1,2017-04-16,2017-05-01,1,25457747,996.163785046729,23.41456580996885
17-18,1,2,2017-05-16,2017-06-01,1,42330199,996.163785046729,23.41456580996885
17-18,1,3,2017-06-16,2017-07-01,1,53295057,996.163785046729,23.41456580996885
17-18,1,4,2017-07-16,2017-08-01,1,58936001,996.163785046729,23.41456580996885
17-18,1,5,2017-08-16,2017-09-01,1,49584932,996.163785046729,23.41456580996885
17-18,1,6,2017-09-16,2017-10-01,1,51954294,996.163785046729,23.41456580996885
17-18,1,7,2017-10-16,2017-11-01,1,37068378,996.163785046729,23.41456580996885
17-18,1,8,2017-11-16,2017-12-01,1,22742945,996.163785046729,23.41456580996885
17-18,1,9,2017-12-16,2018-01-01,1,8281823,996.163785046729,23.41456580996885
17-18,1,10,2018-01-16,2018-02-01,1,25578,996.163785046729,23.41456580996885
17-18,1,11,2018-02-16,2018-03-01,1,188067,996.163785046729,23.41456580996885
17-18,1,12,2018-03-16,2018-04-01,1,7277321,996.163785046729,23.41456580996885
18-19,1,1,2018-04-16,2018-05-01,1,36989641,1044.0715887850467,23.914363317757008
18-19,1,2,2018-05-16,2018-06-01,1,46305680,1044.0715887850467,23.914363317757008
18-19,1,3,2018-06-16,2018-07-01,1,53019243,1044.0715887850467,23.914363317757008
18-19,1,4,2018-07-16,2018-08-01,1,54203334,1044.0715887850467,23.914363317757008
18-19,1,5,2018-08-16,2018-09-01,1,44695397,1044.0715887850467,23.914363317757008
18-19,1,6,2018-09-16,2018-10-01,1,38840569,1044.0715887850467,23.914363317757008
18-19,1,7,2018-10-16,2018-11-01,1,27946096,1044.0715887850467,23.914363317757008
18-19,1,8,2018-11-16,2018-12-01,1,20396811,1044.0715887850467,23.914363317757008
18-19,1,9,2018-12-16,2019-01-01,1,6855169,1044.0715887850467,23.914363317757008
18-19,1,10,2019-01-16,2019-02-01,1,173070,1044.0715887850467,23.914363317757008
18-19,1,11,2019-02-16,2019-03-01,1,64729,1044.0715887850467,23.914363317757008
18-19,1,12,2019-03-16,2019-04-01,1,3848430,1044.0715887850467,23.914363317757008
19-20,1,1,2019-04-16,2019-05-01,1,25179709,1084.217274143302,24.25196261682243
19-20,1,2,2019-05-16,2019-06-01,1,50387582,1084.217274143302,24.25196261682243
19-20,1,3,2019-06-16,2019-07-01,1,52431797,1084.217274143302,24.25196261682243
19-20,1,4,2019-07-16,2019-08-01,1,52558745,1084.217274143302,24.25196261682243
19-20,1,5,2019-08-16,2019-09-01,1,53273213,1084.217274143302,24.25196261682243
19-20,1,6,2019-09-16,2019-10-01,1,43605692,1084.217274143302,24.25196261682243
19-20,1,7,2019-10-16,2019-11-01,1,42854529,1084.217274143302,24.25196261682243
19-20,1,8,2019-11-16,2019-12-01,1,17106453,1084.217274143302,24.25196261682243
19-20,1,9,2019-12-16,2020-01-01,1,1261108,1084.217274143302,24.25196261682243
19-20,1,10,2020-01-16,2020-02-01,1,19992,1084.217274143302,24.25196261682243
19-20,1,11,2020-02-16,2020-03-01,1,0,1084.217274143302,24.25196261682243
19-20,1,12,2020-03-16,2020-04-01,1,4634695,1084.217274143302,24.25196261682243
20-21,1,1,2020-04-16,2020-05-01,1,37969735,937.9111370716512,24.463088006230528
20-21,1,2,2020-05-16,2020-06-01,1,52641606,937.9111370716512,24.463088006230528
20-21,1,3,2020-06-16,2020-07-01,1,50182327,937.9111370716512,24.463088006230528
20-21,1,4,2020-07-16,2020-08-01,1,57730882,937.9111370716512,24.463088006230528
20-21,1,5,2020-08-16,2020-09-01,1,52776407,937.9111370716512,24.463088006230528
20-21,1,6,2020-09-16,2020-10-01,1,49758856,937.9111370716512,24.463088006230528
20-21,1,7,2020-10-16,2020-11-01,1,37894982,937.9111370716512,24.463088006230528
20-21,1,8,2020-11-16,2020-12-01,1,15229986,937.9111370716512,24.463088006230528
20-21,1,9,2020-12-16,2021-01-01,1,617019,937.9111370716512,24.463088006230528
20-21,1,10,2021-01-16,2021-02-01,1,10265,937.9111370716512,24.463088006230528
20-21,1,11,2021-02-16,2021-03-01,1,16595,937.9111370716512,24.463088006230528
20-21,1,12,2021-03-16,2021-04-01,1,1678855,937.9111370716512,24.463088006230528
21-22,1,1,2021-04-16,2021-05-01,1,23522409,653.6833333333334,25.20817951713396
21-22,1,2,2021-05-16,2021-06-01,1,51001348,653.6833333333334,25.20817951713396
21-22,1,3,2021-06-16,2021-07-01,1,48736569,653.6833333333334,25.20817951713396
21-22,1,4,2021-07-16,2021-08-01,1,53983106,653.6833333333334,25.20817951713396
21-22,1,5,2021-08-16,2021-09-01,1,51550157,653.6833333333334,25.20817951713396
21-22,1,6,2021-09-16,2021-10-01,1,43252331,653.6833333333334,25.20817951713396
21-22,1,7,2021-10-16,2021-11-01,1,19354723,653.6833333333334,25.20817951713396
21-22,1,8,2021-11-16,2021-12-01,1,7028226,653.6833333333334,25.20817951713396
21-22,1,9,2021-12-16,2022-01-01,1,190682,653.6833333333334,25.20817951713396
21-22,1,10,2022-01-16,2022-02-01,1,0,653.6833333333334,25.20817951713396
21-22,1,11,2022-02-16,2022-03-01,1,0,653.6833333333334,25.20817951713396
21-22,1,12,2022-03-16,2022-04-01,1,68753,653.6833333333334,25.20817951713396
22-23,1,1,2022-04-16,2022-05-01,1,14681891,974.61730529595,24.333469626168224
22-23,1,2,2022-05-16,2022-06-01,1,45258737,974.61730529595,24.333469626168224
22-23,1,3,2022-06-16,2022-07-01,1,47363873,974.61730529595,24.333469626168224
22-23,1,4,2022-07-16,2022-08-01,1,55574655,974.61730529595,24.333469626168224
22-23,1,5,2022-08-16,2022-09-01,1,48196640,974.61730529595,24.333469626168224
22-23,1,6,2022-09-16,2022-10-01,1,36585620,974.61730529595,24.333469626168224
22-23,1,7,2022-10-16,2022-11-01,1,36743555,974.61730529595,24.333469626168224
22-23,1,8,2022-11-16,2022-12-01,1,24673613,974.61730529595,24.333469626168224
22-23,1,9,2022-12-16,2023-01-01,1,3024763,974.61730529595,24.333469626168224
22-23,1,10,2023-01-16,2023-02-01,1,0,974.61730529595,24.333469626168224
22-23,1,11,2023-02-16,2023-03-01,1,17480,974.61730529595,24.333469626168224
22-23,1,12,2023-03-16,2023-04-01,1,2387836,974.61730529595,24.333469626168224
23-24,1,1,2023-04-16,2023-05-01,1,19502051,1122.5314018691588,23.20907710280374
23-24,1,2,2023-05-16,2023-06-01,1,54613215,1122.5314018691588,23.20907710280374
23-24,1,3,2023-06-16,2023-07-01,1,47191995,1122.5314018691588,23.20907710280374
23-24,1,4,2023-07-16,2023-08-01,1,59486498,1122.5314018691588,23.20907710280374
23-24,1,5,2023-08-16,2023-09-01,1,56127609,1122.5314018691588,23.20907710280374
23-24,1,6,2023-09-16,2023-10-01,1,51809218,1122.5314018691588,23.20907710280374
23-24,1,7,2023-10-16,2023-11-01,1,38439426,1122.5314018691588,23.20907710280374
23-24,1,8,2023-11-16,2023-12-01,1,38187359,1122.5314018691588,23.20907710280374
23-24,1,9,2023-12-16,2024-01-01,1,16959995,1122.5314018691588,23.20907710280374
23-24,1,10,2024-01-16,2024-02-01,1,948654,1122.5314018691588,23.20907710280374
23-24,1,11,2024-02-16,2024-03-01,1,363793,1122.5314018691588,23.20907710280374
23-24,1,12,2024-03-16,2024-04-01,1,3972760,1122.5314018691588,23.20907710280374
24-25,1,1,2024-04-16,2024-05-01,1,32053800,777.5752959501558,26.58614875389408
24-25,1,2,2024-05-16,2024-06-01,1,52911731,777.5752959501558,26.58614875389408
24-25,1,3,2024-06-16,2024-07-01,1,57005563,777.5752959501558,26.58614875389408
24-25,1,4,2024-07-16,2024-08-01,1,55100624,777.5752959501558,26.58614875389408
24-25,1,5,2024-08-16,2024-09-01,1,50314323,777.5752959501558,26.58614875389408
24-25,1,6,2024-09-16,2024-10-01,1,47649759,777.5752959501558,26.58614875389408
24-25,1,7,2024-10-16,2024-11-01,1,35063996,777.5752959501558,26.58614875389408
24-25,1,8,2024-11-16,2024-12-01,1,20111231,777.5752959501558,26.58614875389408
24-25,1,9,2024-12-16,2025-01-01,1,4344693,777.5752959501558,26.58614875389408
24-25,1,10,2025-01-16,2025-02-01,1,0,777.5752959501558,26.58614875389408
24-25,1,11,2025-02-16,2025-03-01,1,0,777.5752959501558,26.58614875389408
24-25,1,12,2025-03-16,2025-04-01,1,2893723,777.5752959501558,26.58614875389408
25-26,1,1,2025-04-16,2025-05-01,1,18281747,797.5637694704051,25.507899143302183
25-26,1,2,2025-05-16,2025-06-01,1,52310289,797.5637694704051,25.507899143302183
25-26,1,3,2025-06-16,2025-07-01,1,45340511,797.5637694704051,25.507899143302183
25-26,1,4,2025-07-16,2025-08-01,1,57129118,797.5637694704051,25.507899143302183
25-26,1,5,2025-08-16,2025-09-01,1,56572358,797.5637694704051,25.507899143302183
25-26,1,6,2025-09-16,2025-10-01,1,49716418,797.5637694704051,25.507899143302183
25-26,1,7,2025-10-16,2025-11-01,1,36717950,797.5637694704051,25.507899143302183
25-26,1,8,2025-11-16,2025-12-01,1,20695347,797.5637694704051,25.507899143302183
25-26,1,9,2025-12-16,2026-01-01,1,4220127,797.5637694704051,25.507899143302183
25-26,1,10,2026-01-16,2026-02-01,1,162615,797.5637694704051,25.507899143302183
25-26,1,11,2026-02-16,2026-03-01,1,47449,797.5637694704051,25.507899143302183
25-26,1,12,2026-03-16,2026-04-01,1,3739136,797.5637694704051,25.507899143302183
