season,period_end_date,region,crush_tonnes
16-17,2016-06-16,sao_paulo,12321236
16-17,2016-07-01,other_states,19203867
16-17,2016-07-01,sao_paulo,29029926
16-17,2016-07-16,other_states,18830640
16-17,2016-07-16,sao_paulo,28253138
16-17,2016-08-01,other_states,19502273
16-17,2016-08-01,sao_paulo,29927804
16-17,2016-08-16,other_states,17993773
16-17,2016-08-16,sao_paulo,27140144
16-17,2016-09-01,other_states,15201104
16-17,2016-09-01,sao_paulo,23395782
16-17,2016-09-16,other_states,15913984
16-17,2016-09-16,sao_paulo,21967440
16-17,2016-10-01,other_states,16334551
16-17,2016-10-01,sao_paulo,26192880
16-17,2016-10-16,other_states,11914141
16-17,2016-10-16,sao_paulo,20278613
16-17,2016-11-01,other_states,12633880
16-17,2016-11-01,sao_paulo,19177780
16-17,2016-11-16,other_states,8812472
16-17,2016-11-16,sao_paulo,12958752
16-17,2016-12-01,other_states,6557525
16-17,2016-12-01,sao_paulo,13124161
16-17,2016-12-16,other_states,2535695
16-17,2016-12-16,sao_paulo,4693123
16-17,2017-01-01,other_states,965348
16-17,2017-01-01,sao_paulo,2155237
16-17,2017-01-16,other_states,561762
16-17,2017-01-16,sao_paulo,620064
16-17,2017-02-01,other_states,512050
16-17,2017-02-01,sao_paulo,77298
16-17,2017-02-16,other_states,609027
16-17,2017-02-16,sao_paulo,302686
16-17,2017-03-01,other_states,907477
16-17,2017-03-01,sao_paulo,252288
16-17,2017-03-16,other_states,1546957
16-17,2017-03-16,sao_paulo,1732905
16-17,2017-04-01,other_states,3275121
16-17,2017-04-01,sao_paulo,4688182
17-18,2017-04-16,other_states,7096464
17-18,2017-04-16,sao_paulo,10584086
17-18,2017-05-01,other_states,9390449
17-18,2017-05-01,sao_paulo,14873661
17-18,2017-05-16,other_states,14716722
17-18,2017-05-16,sao_paulo,23856681
17-18,2017-06-01,other_states,13217350
17-18,2017-06-01,sao_paulo,18473518
17-18,2017-06-16,other_states,15241018
17-18,2017-06-16,sao_paulo,24265890
17-18,2017-07-01,other_states,18685679
17-18,2017-07-01,sao_paulo,29029167
17-18,2017-07-16,other_states,19346138
17-18,2017-07-16,sao_paulo,28653598
