horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,12-13,0.001,7415588.0167289125,5982360.5743136415,0.8789137185161324,False
1,12-13,0.0017782794100389228,7360623.188436024,5922503.820968168,0.8807020652263267,False
1,12-13,0.0031622776601683794,7272961.654723607,5831243.202749973,0.8835267081149067,False
1,12-13,0.005623413251903491,7142804.214216755,5689351.452015503,0.8876582339649741,False
1,12-13,0.01,6968805.643339214,5485716.170154109,0.8930648558339296,False
1,12-13,0.01778279410038923,6765565.537119931,5248664.799514805,0.8992112717948162,False
1,12-13,0.03162277660168379,6558677.298777815,5011268.982877937,0.9052811796067132,False
1,12-13,0.05623413251903491,6365821.948203957,4808683.142560525,0.9107696227862466,False
1,12-13,0.1,6188338.057498391,4660640.1926481165,0.9156758804726014,False
1,12-13,0.1778279410038923,6024271.319217805,4509356.574095347,0.9200878526489474,False
1,12-13,0.31622776601683794,5878555.812398987,4366940.445326192,0.9239069405283357,False
1,12-13,0.5623413251903491,5757930.326787586,4228085.59118796,0.9269976962770327,False
1,12-13,1.0,5664206.193328765,4112029.8354706126,0.9293549293991181,False
1,12-13,1.7782794100389228,5594604.995434809,4017697.355102078,0.9310804216161055,False
1,12-13,3.1622776601683795,5544779.427599933,3935338.1762166335,0.932302551047865,False
1,12-13,5.623413251903491,5510646.213023054,3881049.0559140667,0.9331334656921774,False
1,12-13,10.0,5488763.320083921,3851940.093565864,0.9336634681238218,False
1,12-13,17.78279410038923,5475853.858447277,3837136.7781634713,0.9339751455572243,False
1,12-13,31.622776601683793,5468774.864073145,3830031.1101640686,0.9341457445077056,False
1,12-13,56.23413251903491,5465048.004048228,3828185.6766379145,0.9342354706239561,False
1,12-13,100.0,5463100.413825471,3828212.4928599726,0.9342823355487795,False
1,12-13,177.82794100389228,5462070.085031942,3828610.870701708,0.9343071216269199,False
1,12-13,316.22776601683796,5461515.272153602,3828839.1544389157,0.9343204665321642,False
1,12-13,562.341325190349,5461211.882464727,3828968.928942459,0.9343277633861574,False
1,12-13,1000.0,5461044.1548093045,3829042.3596515628,0.9343317972458064,False
1,12-13,1778.2794100389228,5460950.77539428,3829083.7979060314,0.9343340429723592,False
1,12-13,3162.2776601683795,5460898.567218866,3829107.1465749266,0.934335298535193,False
1,12-13,5623.413251903491,5460869.305178212,3829120.2911736225,0.9343360022574805,False
1,12-13,10000.0,5460852.88070169,3829127.687576643,0.9343363972477676,False
1,12-13,17782.794100389227,5460843.654304088,3829131.8483526893,0.9343366191317877,False
1,12-13,31622.776601683792,5460838.469012768,3829134.1885951385,0.934336743831786,False
1,12-13,56234.13251903491,5460835.554088371,3829135.5047576423,0.9343368139321478,False
1,12-13,100000.0,5460833.915215745,3829136.244936849,0.9343368533450109,False
1,12-13,177827.94100389228,5460832.993707951,3829136.66118496,0.9343368755061304,False
1,12-13,316227.7660168379,5460832.475537033,3829136.895263138,0.9343368879674966,False
1,12-13,562341.3251903491,5460832.184157915,3829137.026896445,0.9343368949748015,False
1,12-13,1000000.0,5460832.0203065,3829137.1009197617,0.9343368989152239,False
1,12-13,1778279.410038923,5460831.928167055,3829137.142546279,0.9343369011310626,False
1,12-13,3162277.6601683795,5460831.876353548,3829137.1659546364,0.9343369023771129,False
1,12-13,5623413.251903491,5460831.847216771,3829137.179118138,0.9343369030778159,False
1,12-13,10000000.0,5460831.830831988,3829137.1865205234,0.9343369034718496,False
1,12-13,17782794.100389227,5460831.8216181565,3829137.1906831926,0.9343369036934307,False
1,12-13,31622776.60168379,5460831.816436841,3829137.193024032,0.9343369038180349,False
1,12-13,56234132.51903491,5460831.813523176,3829137.194340384,0.9343369038881049,False
1,12-13,100000000.0,5460831.811884701,3829137.1950806235,0.9343369039275082,True
1,13-14,0.0001,8230504.143342485,6673890.2491117,0.8513192834084262,False
1,13-14,0.00017782794100389227,8224882.323280177,6667445.255354937,0.8515223258360514,False
1,13-14,0.00031622776601683794,8214994.642798389,6656173.539959396,0.8518791011168934,False
1,13-14,0.0005623413251903491,8197749.481233199,6636963.47222129,0.8525003279928159,False
1,13-14,0.001,8168106.566705064,6603663.546555556,0.853565111703204,False
1,13-14,0.0017782794100389228,8118398.691276924,6547006.495141785,0.8553419785118411,False
1,13-14,0.0031622776601683794,8038372.182728991,6454067.111608684,0.8581798335385871,False
1,13-14,0.005623413251903491,7917458.524693747,6314362.32364446,0.8624142790599832,False
1,13-14,0.01,7750546.307056222,6125469.992482967,0.8681541693817654,False
1,13-14,0.01778279410038923,7544393.578169975,5891092.693028912,0.8750746878544211,False
1,13-14,0.03162277660168379,7316218.960565685,5635333.257569002,0.8825169645427099,False
1,13-14,0.05623413251903491,7082996.283001335,5370419.412047393,0.8898877092726187,False
1,13-14,0.1,6855628.170243905,5120055.449975313,0.8968435758634253,False
1,13-14,0.1778279410038923,6643211.432268886,4893966.170748175,0.9031369991388851,False
1,13-14,0.31622776601683794,6455047.778855958,4702461.581602748,0.9085464239341522,False
1,13-14,0.5623413251903491,6297844.233044297,4533529.787521627,0.9129466277123146,False
1,13-14,1.0,6174297.57518854,4388044.526242993,0.9163286293336308,False
1,13-14,1.7782794100389228,6083145.379754499,4273475.551579629,0.9187809021492035,False
1,13-14,3.1622776601683795,6019603.54260883,4175557.0843901504,0.920468797670066,False
1,13-14,5.623413251903491,5977317.050447477,4108940.9494481245,0.9215822540658504,False
1,13-14,10.0,5950463.128395629,4077175.449515176,0.9222852763972613,False
1,13-14,17.78279410038923,5934278.131529305,4058405.775355098,0.9227074626821186,False
1,13-14,31.622776601683793,5924957.467763135,4047589.0028718114,0.9229500707886367,False
1,13-14,56.23413251903491,5919733.258432124,4044505.3395290244,0.9230858852657122,False
1,13-14,100.0,5916832.998850304,4043882.6200460694,0.9231612319895759,False
1,13-14,177.82794100389228,5915222.686035312,4043796.6422729534,0.9232030508528717,False
1,13-14,316.22776601683796,5914325.659508693,4043745.382893092,0.9232263411602033,False
1,13-14,562.341325190349,5913824.328362071,4043715.5925755883,0.9232393561334599,False
1,13-14,1000.0,5913543.46983657,4043698.5266335737,0.9232466469720509,False
1,13-14,1778.2794100389228,5913385.881647198,4043688.8290212047,0.9232507376702356,False
1,13-14,3162.2776601683795,5913297.376720087,4043683.343518176,0.9232530350467882,False
1,13-14,5623.413251903491,5913247.643095806,4043680.2485805154,0.9232543259978179,False
1,13-14,10000.0,5913219.687406801,4043678.5049305856,0.9232550516474957,False
1,13-14,17782.794100389227,5913203.970446089,4043677.5233784253,0.9232554596133075,False
1,13-14,31622.776601683792,5913195.133315588,4043676.971086421,0.9232556889986002,False
1,13-14,56234.13251903491,5913190.164201135,4043676.6604070887,0.9232558179816952,False
1,13-14,100000.0,5913187.3699795725,4043676.485666769,0.9232558905111392,False
1,13-14,177827.94100389228,5913185.798710283,4043676.3873927933,0.9232559312964683,False
1,13-14,316227.7660168379,5913184.91513232,4043676.3321260214,0.923255954231436,False
1,13-14,562341.3251903491,5913184.418263614,4043676.3010462048,0.9232559671286188,False
1,13-14,1000000.0,5913184.138854978,4043676.283568414,0.9232559743812068,False
1,13-14,1778279.410038923,5913183.981732326,4043676.273739828,0.9232559784596269,False
1,13-14,3162277.6601683795,5913183.893375881,4043676.268212774,0.923255980753088,False
1,13-14,5623413.251903491,5913183.84368944,4043676.2651046766,0.923255982042795,False
1,13-14,10000000.0,5913183.815748711,4043676.2633568593,0.9232559827680502,False
1,13-14,17782794.100389227,5913183.800036488,4043676.262373989,0.9232559831758911,False
1,13-14,31622776.60168379,5913183.791200859,4043676.2618212784,0.9232559834052368,False
