model,horizon,held_out_season,training_seasons,training_observations,test_observations,design_columns_including_intercept,design_rank,design_full_column_rank,design_condition_number,fold_rmse,fold_mae,fold_r_squared
block_only_ols,2,25-26,15,90,6,6,6,True,6.854101966249686,4445239.10838096,3222041.0555555657,0.9884675049398055
block_only_ols,3,10-11,15,60,4,4,4,True,4.7912878474779195,10618362.008308368,8142881.816666681,0.9671283682160002
block_only_ols,3,11-12,15,60,4,4,4,True,4.7912878474779195,14329840.09533612,11098607.550000004,0.9385723103735635
block_only_ols,3,12-13,15,60,4,4,4,True,4.7912878474779195,30585472.614593014,22871530.44999997,0.6955892559768779
block_only_ols,3,13-14,15,60,4,4,4,True,4.7912878474779195,15582293.638622291,11244598.983333316,0.9227079872490564
block_only_ols,3,14-15,15,60,4,4,4,True,4.7912878474779195,5870779.108200631,4553789.816666715,0.9886099213481698
block_only_ols,3,15-16,15,60,4,4,4,True,4.7912878474779195,15916507.381023142,14047348.349999983,0.8841065384493116
block_only_ols,3,16-17,15,60,4,4,4,True,4.7912878474779195,5754259.35618764,5531648.983333334,0.9898714158654563
block_only_ols,3,17-18,15,60,4,4,4,True,4.7912878474779195,4903294.920436624,3381680.316666644,0.9927246617874599
block_only_ols,3,18-19,15,60,4,4,4,True,4.7912878474779195,12811381.84238563,11089598.350000035,0.9488635775002374
block_only_ols,3,19-20,15,60,4,4,4,True,4.7912878474779195,5076975.644773292,4251266.350000031,0.9920806842103619
block_only_ols,3,20-21,15,60,4,4,4,True,4.7912878474779195,13525270.764034731,11751189.783333365,0.9559855351076956
block_only_ols,3,21-22,15,60,4,4,4,True,4.7912878474779195,22114661.127159286,13367302.083333366,0.8756585326581932
block_only_ols,3,22-23,15,60,4,4,4,True,4.7912878474779195,9950847.105977174,8196611.283333328,0.962788466520537
block_only_ols,3,23-24,15,60,4,4,4,True,4.7912878474779195,16114538.493656741,11384804.316666622,0.9256654887157911
block_only_ols,3,24-25,15,60,4,4,4,True,4.7912878474779195,11800493.55801514,8287202.050000016,0.9633381004693936
block_only_ols,3,25-26,15,60,4,4,4,True,4.7912878474779195,7533006.761129299,6215598.449999999,0.9840324000771125
block_only_ols,4,10-11,15,45,3,3,3,True,3.7320508075688763,10457218.300434386,7853989.533333312,0.9830342092828583
block_only_ols,4,11-12,15,45,3,3,3,True,3.7320508075688763,15524607.856262542,14798143.399999997,0.9532538575978764
block_only_ols,4,12-13,15,45,3,3,3,True,3.7320508075688763,34243976.97541393,28747377.22222222,0.7643003928468082
