horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,12-13,10000.0,5460853.579201441,3829132.599847607,0.9343363804496542,False
1,12-13,17782.794100389227,5460844.049966585,3829134.611267589,0.9343366096165773,False
1,12-13,31622.776601683792,5460838.692417598,3829135.7424678155,0.9343367384591719,False
1,12-13,56234.13251903491,5460835.6800052365,3829136.378618694,0.9343368109040022,False
1,12-13,100000.0,5460833.986114817,3829136.7363621844,0.934336851639976,False
1,12-13,177827.94100389228,5460833.03360615,3829136.9375391584,0.9343368745466283,False
1,12-13,316227.7660168379,5460832.4979825225,3829137.050670241,0.9343368874277105,False
1,12-13,562341.3251903491,5460832.196782815,3829137.114288824,0.9343368946711884,False
1,12-13,1000000.0,5460832.0274069095,3829137.150064279,0.9343368987444678,False
1,12-13,1778279.410038923,5460831.932160197,3829137.170182326,0.9343369010350325,False
1,12-13,3162277.6601683795,5460831.878599148,3829137.181495544,0.934336902323109,False
1,12-13,5623413.251903491,5460831.848479592,3829137.187857437,0.9343369030474467,False
1,12-13,10000000.0,5460831.831542133,3829137.191434994,0.9343369034547715,False
1,12-13,17782794.100389227,5460831.822017503,3829137.193446802,0.9343369036838269,False
1,12-13,31622776.60168379,5460831.816661411,3829137.1945781256,0.9343369038126342,False
1,12-13,56234132.51903491,5460831.813649461,3829137.1952143144,0.934336903885068,False
1,12-13,100000000.0,5460831.8119557155,3829137.1955720703,0.9343369039258004,True
1,13-14,0.0001,6643510.785197868,4980244.606173651,0.9031282693621439,False
1,13-14,0.00017782794100389227,6641645.121361195,4977803.483318224,0.9031826697277722,False
1,13-14,0.00031622776601683794,6638446.753708592,4973994.644032745,0.9032758944791666,False
1,13-14,0.0005623413251903491,6633112.829854565,4967372.517668311,0.9034312656872256,False
1,13-14,0.001,6624627.089795113,4956042.947673544,0.9036781883712036,False
1,13-14,0.0017782794100389228,6612143.510690398,4937809.688252706,0.9040408678056422,False
1,13-14,0.0031622776601683794,6595909.813498012,4909643.086191982,0.9045114744171373,False
1,13-14,0.005623413251903491,6578186.220006382,4868474.599688232,0.9050239514127142,False
1,13-14,0.01,6561992.378920656,4820595.613312957,0.9054909901581679,False
1,13-14,0.01778279410038923,6546112.784045517,4783381.399223608,0.9059478480224203,False
1,13-14,0.03162277660168379,6520936.621047007,4733228.767516439,0.9066699006364963,False
1,13-14,0.05623413251903491,6473599.207638855,4670614.126769865,0.9080200041404993,False
1,13-14,0.1,6400833.716120419,4591994.020991696,0.9100761567535377,False
