horizon,held_out_season,term,term_type,coefficient_standardized,coefficient_raw
1,17-18,block_fe_3,block_fixed_effect,22794434.46666666,22794434.46666666
1,17-18,block_fe_4,block_fixed_effect,28849993.26666667,28849993.26666667
1,17-18,block_fe_5,block_fixed_effect,27446564.399999965,27446564.399999965
1,17-18,block_fe_6,block_fixed_effect,19146966.866666663,19146966.866666663
1,17-18,block_fe_7,block_fixed_effect,11869707.666666664,11869707.666666664
1,17-18,block_fe_8,block_fixed_effect,-1854164.9333333448,-1854164.9333333448
1,17-18,block_fe_9,block_fixed_effect,-18272519.00000001,-18272519.00000001
1,17-18,block_fe_10,block_fixed_effect,-24799649.33333333,-24799649.33333333
1,17-18,block_fe_11,block_fixed_effect,-25060103.200000018,-25060103.200000018
1,17-18,block_fe_12,block_fixed_effect,-22094232.533333335,-22094232.533333335
1,18-19,intercept,intercept,24533282.133333344,-7884573.199224833
1,18-19,temperature_sep,weather,-3234173.395033931,-1953895.498894647
1,18-19,temperature_oct,weather,1888217.5526094881,1338886.3659998619
1,18-19,temperature_nov,weather,904822.2607094208,923592.1172852208
1,18-19,temperature_dec,weather,-581309.7377119828,-611800.7451333074
1,18-19,temperature_jan,weather,983821.5210785666,871571.3104854118
1,18-19,temperature_feb,weather,-1266381.9491707722,-1377826.470856775
1,18-19,temperature_mar,weather,1732994.6277148237,1475752.979311763
1,18-19,temperature_apr,weather,509519.2013269239,477027.59227856604
1,18-19,growing_season_total_rainfall,weather,942613.3304771904,4600.813298083884
1,18-19,block_fe_2,block_fixed_effect,23304725.266666662,23304725.266666662
1,18-19,block_fe_3,block_fixed_effect,23581615.000000015,23581615.000000015
1,18-19,block_fe_4,block_fixed_effect,29934297.33333333,29934297.33333333
1,18-19,block_fe_5,block_fixed_effect,28541326.333333313,28541326.333333313
1,18-19,block_fe_6,block_fixed_effect,20790008.13333334,20790008.13333334
1,18-19,block_fe_7,block_fixed_effect,13246652.73333333,13246652.73333333
1,18-19,block_fe_8,block_fixed_effect,-928963.066666669,-928963.066666669
1,18-19,block_fe_9,block_fixed_effect,-17408615.80000004,-17408615.80000004
1,18-19,block_fe_10,block_fixed_effect,-24040689.200000003,-24040689.200000003
1,18-19,block_fe_11,block_fixed_effect,-24283087.73333334,-24283087.73333334
1,18-19,block_fe_12,block_fixed_effect,-21096846.866666675,-21096846.866666675
1,19-20,intercept,intercept,25320610.933333334,-15840418.620631237
1,19-20,temperature_sep,weather,-3323131.956962993,-2035273.9257675665
1,19-20,temperature_oct,weather,1941876.3142697078,1389015.9505192009
1,19-20,temperature_nov,weather,795844.3561482385,803885.0804846674
1,19-20,temperature_dec,weather,-546149.014148398,-572633.0232507964
1,19-20,temperature_jan,weather,1247145.724245071,1151372.9620059114
1,19-20,temperature_feb,weather,-987836.1396957847,-1006317.7554543074
1,19-20,temperature_mar,weather,1240618.2410957906,1053282.1391038862
1,19-20,temperature_apr,weather,722496.9582879816,691652.9469486487
1,19-20,growing_season_total_rainfall,weather,1069457.4572765038,5240.092426100821
1,19-20,block_fe_2,block_fixed_effect,22245269.666666683,22245269.666666683
1,19-20,block_fe_3,block_fixed_effect,22833449.26666665,22833449.26666665
1,19-20,block_fe_4,block_fixed_effect,29256607.800000023,29256607.800000023
1,19-20,block_fe_5,block_fixed_effect,27182143.133333325,27182143.133333325
1,19-20,block_fe_6,block_fixed_effect,19685004.46666667,19685004.46666667
1,19-20,block_fe_7,block_fixed_effect,11465428.399999991,11465428.399999991
1,19-20,block_fe_8,block_fixed_effect,-1496934.666666658,-1496934.666666658
1,19-20,block_fe_9,block_fixed_effect,-17823007.200000014,-17823007.200000014
1,19-20,block_fe_10,block_fixed_effect,-24817812.80000001,-24817812.80000001
1,19-20,block_fe_11,block_fixed_effect,-25066101.266666673,-25066101.266666673
1,19-20,block_fe_12,block_fixed_effect,-21936593.333333347,-21936593.333333347
1,20-21,intercept,intercept,24467942.53333335,-5699024.9547880925
1,20-21,temperature_sep,weather,-3380432.883860095,-2067923.1425386728
1,20-21,temperature_oct,weather,1946144.2869269932,1462625.4426091001
1,20-21,temperature_nov,weather,1478911.9061828766,1524481.9971101815
1,20-21,temperature_dec,weather,-1076318.4422674037,-1123079.1409004845
1,20-21,temperature_jan,weather,792663.0011426739,691611.9985877166
1,20-21,temperature_feb,weather,-914296.6431494126,-957260.3759566023
1,20-21,temperature_mar,weather,993088.990008064,856899.1969608649
1,20-21,temperature_apr,weather,819153.1621706237,774163.7302051542
1,20-21,growing_season_total_rainfall,weather,518170.54644660803,2536.767568072593
1,20-21,block_fe_2,block_fixed_effect,22947669.799999997,22947669.799999997
1,20-21,block_fe_3,block_fixed_effect,23836082.333333313,23836082.333333313
1,20-21,block_fe_4,block_fixed_effect,29764467.06666667,29764467.06666667
1,20-21,block_fe_5,block_fixed_effect,28067931.933333308,28067931.933333308
1,20-21,block_fe_6,block_fixed_effect,20127461.933333315,20127461.933333315
1,20-21,block_fe_7,block_fixed_effect,12648733.266666664,12648733.266666664
1,20-21,block_fe_8,block_fixed_effect,-519168.46666670596,-519168.46666670596
1,20-21,block_fe_9,block_fixed_effect,-16927399.533333376,-16927399.533333376
1,20-21,block_fe_10,block_fixed_effect,-23964495.933333337,-23964495.933333337
1,20-21,block_fe_11,block_fixed_effect,-24214539.20000001,-24214539.20000001
1,20-21,block_fe_12,block_fixed_effect,-20886868.933333367,-20886868.933333367
1,21-22,intercept,intercept,25431097.599999964,-2660188.8071087077
1,21-22,temperature_sep,weather,-2336378.0964677925,-1499699.4397140143
1,21-22,temperature_oct,weather,1939340.0513506695,1448564.6260911906
1,21-22,temperature_nov,weather,746667.6733448566,745725.3724219524
1,21-22,temperature_dec,weather,-689894.4787836601,-733254.8348208746
1,21-22,temperature_jan,weather,636600.4866612051,565085.9200461357
1,21-22,temperature_feb,weather,-166094.28171692125,-169584.70480916384
1,21-22,temperature_mar,weather,860331.6367250517,751785.9760924743
1,21-22,temperature_apr,weather,-67337.74492585877,-62676.61042980725
1,21-22,growing_season_total_rainfall,weather,279866.23869982397,1536.914048066894
1,21-22,block_fe_2,block_fixed_effect,22093865.26666668,22093865.26666668
1,21-22,block_fe_3,block_fixed_effect,22969311.13333336,22969311.13333336
1,21-22,block_fe_4,block_fixed_effect,29051163.73333333,29051163.73333333
1,21-22,block_fe_5,block_fixed_effect,27186526.86666669,27186526.86666669
1,21-22,block_fe_6,block_fixed_effect,19598075.20000002,19598075.20000002
1,21-22,block_fe_7,block_fixed_effect,12921595.466666685,12921595.466666685
1,21-22,block_fe_8,block_fixed_effect,-935539.5333333202,-935539.5333333202
1,21-22,block_fe_9,block_fixed_effect,-17862132.133333333,-17862132.133333333
1,21-22,block_fe_10,block_fixed_effect,-24926966.666666638,-24926966.666666638
1,21-22,block_fe_11,block_fixed_effect,-25176587.933333304,-25176587.933333304
1,21-22,block_fe_12,block_fixed_effect,-21742683.86666663,-21742683.86666663
1,22-23,intercept,intercept,26020465.466666665,-22450949.138779636
1,22-23,temperature_sep,weather,-3673426.365687281,-2338443.7279273286
1,22-23,temperature_oct,weather,2722087.982269154,1950493.336064279
1,22-23,temperature_nov,weather,852192.7048637439,841264.484304631
1,22-23,temperature_dec,weather,-707940.4766707367,-744551.5485272928
1,22-23,temperature_jan,weather,1002675.3386750822,874735.7477360534
1,22-23,temperature_feb,weather,-126391.94429380358,-129786.07657758522
1,22-23,temperature_mar,weather,1122293.223370648,953212.3640135708
1,22-23,temperature_apr,weather,333632.17695182294,311945.5004982536
1,22-23,growing_season_total_rainfall,weather,1016039.2634192917,4958.224234677877
1,22-23,block_fe_2,block_fixed_effect,21887338.13333334,21887338.13333334
1,22-23,block_fe_3,block_fixed_effect,22471456.333333313,22471456.333333313
1,22-23,block_fe_4,block_fixed_effect,28355692.60000001,28355692.60000001
1,22-23,block_fe_5,block_fixed_effect,26820726.80000001,26820726.80000001
1,22-23,block_fe_6,block_fixed_effect,19453154.733333327,19453154.733333327
1,22-23,block_fe_7,block_fixed_effect,11172972.133333337,11172972.133333337
1,22-23,block_fe_8,block_fixed_effect,-2701266.5333333327,-2701266.5333333327
1,22-23,block_fe_9,block_fixed_effect,-18640438.733333327,-18640438.733333327
1,22-23,block_fe_10,block_fixed_effect,-25516334.533333316,-25516334.533333316
1,22-23,block_fe_11,block_fixed_effect,-25767121.133333344,-25767121.133333344
1,22-23,block_fe_12,block_fixed_effect,-22486657.26666667,-22486657.26666667
1,23-24,intercept,intercept,25699121.466666676,-9338915.377930932
1,23-24,temperature_sep,weather,-2565843.180176044,-1640594.5022639155
1,23-24,temperature_oct,weather,1859673.202050054,1315173.6745994359
1,23-24,temperature_nov,weather,1158770.215570229,1224749.4913126074
1,23-24,temperature_dec,weather,-816354.536646659,-879228.1160441093
1,23-24,temperature_jan,weather,536915.2325000166,486260.0691863187
1,23-24,temperature_feb,weather,-329798.4397198138,-347371.6830154918
1,23-24,temperature_mar,weather,579302.6445045593,492154.7078938405
1,23-24,temperature_apr,weather,706462.9008158762,680227.9104990291
1,23-24,growing_season_total_rainfall,weather,608649.9926971936,3001.0886485559404
1,23-24,block_fe_2,block_fixed_effect,21585050.26666669,21585050.26666669
1,23-24,block_fe_3,block_fixed_effect,22804258.86666668,22804258.86666668
1,23-24,block_fe_4,block_fixed_effect,28416247.066666648,28416247.066666648
1,23-24,block_fe_5,block_fixed_effect,26613339.533333354,26613339.533333354
1,23-24,block_fe_6,block_fixed_effect,18759592.200000014,18759592.200000014
1,23-24,block_fe_7,block_fixed_effect,11381258.066666665,11381258.066666665
1,23-24,block_fe_8,block_fixed_effect,-3280838.933333309,-3280838.933333309
1,23-24,block_fe_9,block_fixed_effect,-19248110.200000007,-19248110.200000007
1,23-24,block_fe_10,block_fixed_effect,-25258234.133333333,-25258234.133333333
1,23-24,block_fe_11,block_fixed_effect,-25468864.666666664,-25468864.666666664
1,23-24,block_fe_12,block_fixed_effect,-22270974.86666668,-22270974.86666668
1,24-25,intercept,intercept,24862338.199999962,46577755.85275214
1,24-25,temperature_sep,weather,-1840167.1556414964,-1224762.524478349
1,24-25,temperature_oct,weather,2093308.8061698168,1552623.3587780439
1,24-25,temperature_nov,weather,-130302.68740953175,-178920.00499037188
1,24-25,temperature_dec,weather,-1061767.3801263438,-2000799.7832979958
1,24-25,temperature_jan,weather,500949.57445566566,495784.0979911711
1,24-25,temperature_feb,weather,529982.9344623612,637160.3007967519
1,24-25,temperature_mar,weather,18246.318589184102,18222.65523312521
1,24-25,temperature_apr,weather,-279685.5915260426,-320289.7000072427
1,24-25,growing_season_total_rainfall,weather,345377.80307626526,1764.6850072433738
1,24-25,block_fe_2,block_fixed_effect,22535265.800000057,22535265.800000057
1,24-25,block_fe_3,block_fixed_effect,22986804.266666733,22986804.266666733
1,24-25,block_fe_4,block_fixed_effect,29545421.933333408,29545421.933333408
1,24-25,block_fe_5,block_fixed_effect,27837675.20000001,27837675.20000001
1,24-25,block_fe_6,block_fixed_effect,19873672.73333335,19873672.73333335
1,24-25,block_fe_7,block_fixed_effect,12443070.000000054,12443070.000000054
1,24-25,block_fe_8,block_fixed_effect,-1238980.4666666389,-1238980.4666666389
1,24-25,block_fe_9,block_fixed_effect,-17570306.799999975,-17570306.799999975
1,24-25,block_fe_10,block_fixed_effect,-24358207.26666663,-24358207.26666663
1,24-25,block_fe_11,block_fixed_effect,-24607828.533333305,-24607828.533333305
1,24-25,block_fe_12,block_fixed_effect,-21362255.79999999,-21362255.79999999
1,25-26,intercept,intercept,25780475.066666678,1218435.6277680025
1,25-26,temperature_sep,weather,-3455022.3201387324,-2272471.287693824
1,25-26,temperature_oct,weather,1723415.5071278722,1240924.0630864806
1,25-26,temperature_nov,weather,1739438.525378811,1714372.3458414164
1,25-26,temperature_dec,weather,-497020.9622438425,-518590.6164523805
1,25-26,temperature_jan,weather,704311.0761445351,633774.7418249667
1,25-26,temperature_feb,weather,-1415062.3415074737,-1570490.3554321236
1,25-26,temperature_mar,weather,661366.7379165041,688604.3779538141
1,25-26,temperature_apr,weather,1026892.1977197721,1011832.6306376614
1,25-26,growing_season_total_rainfall,weather,496010.3372135583,2513.8829133490826
1,25-26,block_fe_2,block_fixed_effect,21657225.066666648,21657225.066666648
1,25-26,block_fe_3,block_fixed_effect,22846337.53333331,22846337.53333331
1,25-26,block_fe_4,block_fixed_effect,28492052.133333307,28492052.133333307
1,25-26,block_fe_5,block_fixed_effect,26502335.999999996,26502335.999999996
1,25-26,block_fe_6,block_fixed_effect,18817758.599999975,18817758.599999975
1,25-26,block_fe_7,block_fixed_effect,11414669.533333324,11414669.533333324
1,25-26,block_fe_8,block_fixed_effect,-2196058.4000000143,-2196058.4000000143
1,25-26,block_fe_9,block_fixed_effect,-18480139.26666665,-18480139.26666665
1,25-26,block_fe_10,block_fixed_effect,-25287185.13333334,-25287185.13333334
1,25-26,block_fe_11,block_fixed_effect,-25529128.666666687,-25529128.666666687
1,25-26,block_fe_12,block_fixed_effect,-22336753.533333354,-22336753.533333354
2,10-11,intercept,intercept,72112990.73333338,-5515600.275983632
2,10-11,temperature_sep,weather,-7167416.835530791,-4431004.044738752
2,10-11,temperature_oct,weather,3207140.8897674954,2390902.660773514
2,10-11,temperature_nov,weather,3923652.057086985,3925103.868258472
2,10-11,temperature_dec,weather,-2556935.463665666,-2831631.9060604353
2,10-11,temperature_jan,weather,1818241.4253108946,1609709.3592695177
2,10-11,temperature_feb,weather,-1601297.5075499564,-1624709.5586804384
2,10-11,temperature_mar,weather,3627915.933230305,3099359.496189498
2,10-11,temperature_apr,weather,611060.0068100907,606624.020212506
2,10-11,growing_season_total_rainfall,weather,1902881.2218893308,10773.037608546834
2,10-11,block_fe_2,block_fixed_effect,30609654.266666632,30609654.266666632
2,10-11,block_fe_3,block_fixed_effect,25708531.79999995,25708531.79999995
2,10-11,block_fe_4,block_fixed_effect,-11801850.466666674,-11801850.466666674
2,10-11,block_fe_5,block_fixed_effect,-64420566.26666676,-64420566.26666676
