model,horizon,held_out_season,training_seasons,training_observations,test_observations,selected_alpha,selected_alpha_at_minimum_grid,selected_alpha_at_maximum_grid,weather_rank,weather_condition_number,weather_effective_degrees_of_freedom,fold_rmse,fold_mae,fold_r_squared
rainfall_month_level_ridge,2,10-11,15,90,6,100000000.0,False,True,9,5.091879106206503,8.999999822162737e-08,6980737.120325178,5303152.011111108,0.9714073852135773
rainfall_month_level_ridge,2,11-12,15,90,6,3.1622776601683795,False,False,9,5.53180647967052,1.8654112772783236,11055814.330242312,9146190.471937938,0.9258403305230897
rainfall_month_level_ridge,2,12-13,15,90,6,100000000.0,False,True,9,5.9737915184989925,8.999999817274618e-08,19145037.146161124,15263027.188888883,0.7497657794576456
rainfall_month_level_ridge,2,13-14,15,90,6,100000000.0,False,True,9,6.122521545239166,8.999999821582486e-08,10627499.668791065,8237514.2927366,0.9227286303450943
rainfall_month_level_ridge,2,14-15,15,90,6,100000000.0,False,True,9,7.6262467735668436,8.999999818782108e-08,2081336.056825997,1865898.7988168905,0.9972128886883608
rainfall_month_level_ridge,2,15-16,15,90,6,100000000.0,False,True,9,5.7740629176634215,8.999999819535505e-08,10733559.072986366,9364898.9,0.8929264970206884
rainfall_month_level_ridge,2,16-17,15,90,6,100000000.0,False,True,9,6.903004546695441,8.999999828338618e-08,7056748.109593774,4887802.366575743,0.9682654918244741
rainfall_month_level_ridge,2,17-18,15,90,6,31.622776601683793,False,False,9,7.014894874388114,0.26775740528295144,5331860.440220687,4296877.0152328275,0.9828483000761098
rainfall_month_level_ridge,2,18-19,15,90,6,100000000.0,False,True,9,8.286676239529575,8.999999814586378e-08,9418218.425634181,7380493.522222221,0.9427461298243024
rainfall_month_level_ridge,2,19-20,15,90,6,177.82794100389228,False,False,9,6.864976361903636,0.05001487594305915,3143568.411459373,2322288.3666666686,0.9941256322244532
rainfall_month_level_ridge,2,20-21,15,90,6,100000000.0,False,True,9,6.620704635558892,8.999999809637683e-08,9411667.685259078,7834126.522222231,0.9557535858553783
rainfall_month_level_ridge,2,21-22,15,90,6,100000000.0,False,True,9,5.620128652836296,8.999999826084556e-08,15370069.653088003,8799481.293898582,0.8701937840107606
rainfall_month_level_ridge,2,22-23,15,90,6,100000000.0,False,True,9,5.715057734988963,8.999999817545298e-08,8217160.951372603,5789400.706395698,0.953316871196438
rainfall_month_level_ridge,2,23-24,15,90,6,100000000.0,False,True,9,6.168334939923721,8.99999982090831e-08,9640504.370619377,7530065.353025599,0.9424858428225975
rainfall_month_level_ridge,2,24-25,15,90,6,1.7782794100389228,False,False,9,5.5053138726372675,2.670605159648598,9114026.960586937,6697627.904364132,0.9553428895176377
rainfall_month_level_ridge,2,25-26,15,90,6,100000000.0,False,True,9,6.125547383162134,8.999999821308679e-08,4445239.10803784,3222041.046415483,0.9884675049415859
rainfall_month_level_ridge,3,10-11,15,60,4,100000000.0,False,True,9,5.091879106206503,8.999999822162738e-08,10618361.97037627,8142881.816666648,0.9671283684508557
