horizon,held_out_season,training_seasons,training_observations,test_observations,weather_predictor_count,weather_max_rank_after_centering,weather_rank,weather_full_column_rank,weather_condition_number,augmented_design_columns,augmented_design_rank,augmented_design_full_column_rank,augmented_design_condition_number,fold_rmse,fold_mae,fold_r_squared,weather_singular_value_1,weather_singular_value_2,weather_singular_value_3,weather_singular_value_4,weather_singular_value_5,weather_singular_value_6,weather_singular_value_7,weather_singular_value_8,weather_singular_value_9
2,24-25,15,90,6,9,9,9,True,5.5053138726372675,15,15,True,11.45535691426513,18701023.42197222,17426675.4084276,0.8119814282953938,6.918363056954307,5.533773868703839,4.279744788025516,3.5274939248848014,3.2696728166921067,2.4600073287763538,2.215396973563942,1.5888897985078319,1.2566700495207428
2,25-26,15,90,6,9,9,9,True,6.125547383162134,15,15,True,11.818370202606271,7915232.734349856,7520678.645785521,0.9634354357331497,7.137601771386278,5.317142250598736,4.080345150049815,3.5259882003490257,3.1574483698347744,2.7178684894850385,2.4034668515884157,1.4866584244691987,1.1652186041374968
3,10-11,15,60,4,9,9,9,True,5.091879106206503,13,13,True,8.038903987340083,12062900.865502847,11491977.837890908,0.9575761844454715,7.111911507422636,5.314359585037067,4.071334345082353,3.660703476473934,3.3486097878227485,2.4279046788934138,2.0925714587416318,1.6625891609278565,1.396716488958646
3,11-12,15,60,4,9,9,9,True,5.53180647967052,13,13,True,7.974913187866513,22362881.077394158,20443415.137219336,0.8503981371412559,7.05529969767071,5.2838476104994285,4.030912873213113,3.561110266871334,3.2644781492728066,2.736180303983718,2.4899844148195176,1.5504039299291221,1.275406094482707
3,12-13,15,60,4,9,9,9,True,5.9737915184989925,13,13,True,8.279296329440234,30785235.96727744,22871530.449999984,0.6915998655509659,7.324583417271384,4.839528433906044,4.157368967925349,3.6940316348556204,3.311044785675893,2.4752878854582607,2.3791240911525784,1.6571623990979163,1.226119692089924
3,13-14,15,60,4,9,9,9,True,6.122521545239166,13,13,True,8.063634840330304,15703021.316679567,11244598.983333342,0.9215056695838404,7.1337905643496144,5.2854194491029665,4.0220598167286745,3.7369630616411738,3.2137808343494543,2.5818804581365127,2.326491350482953,1.5056007553570763,1.1651719821054456
3,14-15,15,60,4,9,9,9,True,7.6262467735668436,13,13,True,8.116911329089245,9127362.969067724,7327563.646062449,0.9724687528012625,7.180923565823008,5.241612405710039,4.105862240095818,3.769280412619209,3.159876205966767,2.570826771218859,2.327277949352455,1.4133093006396902,0.9416065043571158
3,15-16,15,60,4,9,9,9,True,5.7740629176634215,13,13,True,8.176002077084254,15851240.243682938,14047348.349999959,0.8850550538205972,7.233200365161538,4.987091213112179,4.195123405209574,3.8356019470047547,3.1937144697614785,2.6128931259002175,2.076833787566942,1.609129820753641,1.2527054984168033
3,16-17,15,60,4,9,9,9,True,6.903004546695441,13,13,True,8.002669919949211,1802911.657930107,1328723.6734108664,0.99900569695635,7.079855709611928,4.998542588172408,4.20114155316709,3.7546462673681447,3.2158747240465764,2.8180725064366343,2.4620542374942818,1.657186462243423,1.0256194475492773
3,17-18,15,60,4,9,9,9,True,7.014894874388114,13,13,True,8.299200336219238,10819441.498526474,10152927.81937623,0.9645768774224125,7.3421922275119735,4.8198450304880165,4.087139129687683,3.728475937938227,3.3904383420008766,2.6175818663589006,2.2535115156026446,1.6536187804481637,1.0466574851062767
3,18-19,15,60,4,9,9,9,True,8.286676239529575,13,13,True,8.286676239529577,17267783.699844774,12005335.307696514,0.9071008820670015,7.238071855865868,5.279427827302866,4.141560344726012,3.7391154030923515,3.115245830081555,2.5552332068822423,2.0316570772532208,1.5747752631401066,0.8734589896656522
3,19-20,15,60,4,9,9,9,True,6.864976361903636,13,13,True,8.268695989458111,18167984.126909353,17451805.567846823,0.8985876177556382,7.315205437385046,5.355843691033883,4.22408919560093,3.6916121198248,2.7799373773128377,2.38186722113886,2.037578039819425,1.6258051781436555,1.0655834851784636
3,20-21,15,60,4,9,9,9,True,6.620704635558892,13,13,True,8.34523197317228,13264212.918580964,11751189.78333332,0.9576682269257839,7.38291580488862,4.980483012508026,4.156566857545805,3.882116633475723,3.303110070132628,2.4772537585823566,1.6793903455944938,1.4927446888839635,1.1151253848776153
3,21-22,15,60,4,9,9,9,True,5.620128652836296,13,13,True,7.908983980381899,22921714.99801279,14060489.921333022,0.8664174815366967,6.996973004116031,5.4077158568154395,4.140161859109375,3.727095294873871,3.1293659559396296,2.4829569822542634,2.3498534848516046,1.6543862888100163,1.244984489916416
3,22-23,15,60,4,9,9,9,True,5.715057734988963,13,13,True,8.150690958697776,6043396.077773852,5528261.416666646,0.9862747716843064,7.210807955151166,5.222204214557111,4.248756573329252,3.719202451808631,2.7097919454135155,2.633662732722362,2.33740639208726,1.5855195856969324,1.2617209290826337
3,23-24,15,60,4,9,9,9,True,6.168334939923721,13,13,True,8.0870059271194,20457268.96866338,16923378.5856077,0.8802018651512601,7.154466654191965,5.2307143176907,4.100100103983917,3.7468059734249173,3.183930703287626,2.654256305890935,2.130041539829739,1.5934215116497081,1.1598700012033456
3,24-25,15,60,4,9,9,9,True,5.5053138726372675,13,13,True,7.820127726050919,28494941.719079543,26140013.112641845,0.7862283227438782,6.918363056954307,5.533773868703839,4.279744788025516,3.5274939248848014,3.2696728166921067,2.4600073287763538,2.215396973563942,1.5888897985078319,1.2566700495207428
3,25-26,15,60,4,9,9,9,True,6.125547383162134,13,13,True,8.067942813989939,12379434.458276518,11085884.639008585,0.956877439733183,7.137601771386278,5.317142250598736,4.080345150049815,3.5259882003490257,3.1574483698347744,2.7178684894850385,2.4034668515884157,1.4866584244691987,1.1652186041374968
4,10-11,15,45,3,9,9,9,True,5.091879106206503,12,12,True,6.144338247697646,12946059.804133857,11953952.10034751,0.9739973880574595,7.111911507422636,5.314359585037067,4.071334345082353,3.660703476473934,3.3486097878227485,2.4279046788934138,2.0925714587416318,1.6625891609278565,1.396716488958646
4,11-12,15,45,3,9,9,9,True,5.53180647967052,12,12,True,6.095428456347309,27659009.31904079,27257886.849626113,0.8516191887664459,7.05529969767071,5.2838476104994285,4.030912873213113,3.561110266871334,3.2644781492728066,2.736180303983718,2.4899844148195176,1.5504039299291221,1.275406094482707
4,12-13,15,45,3,9,9,9,True,5.9737915184989925,12,12,True,6.32807621301552,34560741.25986338,28147446.128347088,0.7599196789033043,7.324583417271384,4.839528433906044,4.157368967925349,3.6940316348556204,3.311044785675893,2.4752878854582607,2.3791240911525784,1.6571623990979163,1.226119692089924
4,13-14,15,45,3,9,9,9,True,6.122521545239166,12,12,True,6.163240666008073,18076066.529285457,15755364.574634215,0.94019896136875,7.1337905643496144,5.2854194491029665,4.0220598167286745,3.7369630616411738,3.2137808343494543,2.5818804581365127,2.326491350482953,1.5056007553570763,1.1651719821054456
4,14-15,15,45,3,9,9,9,True,7.6262467735668436,12,12,True,7.626246773566841,9810932.957626458,9770084.861416569,0.9827030764787268,7.180923565823008,5.241612405710039,4.105862240095818,3.769280412619209,3.159876205966767,2.570826771218859,2.327277949352455,1.4133093006396902,0.9416065043571158
4,15-16,15,45,3,9,9,9,True,5.7740629176634215,12,12,True,6.249125795580788,19347774.824458156,18126000.847972542,0.8978900620151977,7.233200365161538,4.987091213112179,4.195123405209574,3.8356019470047547,3.1937144697614785,2.6128931259002175,2.076833787566942,1.609129820753641,1.2527054984168033
4,16-17,15,45,3,9,9,9,True,6.903004546695441,12,12,True,6.90300454669544,3733614.2290432425,2994472.620809684,0.997622623605192,7.079855709611928,4.998542588172408,4.20114155316709,3.7546462673681447,3.2158747240465764,2.8180725064366343,2.4620542374942818,1.657186462243423,1.0256194475492773
4,17-18,15,45,3,9,9,9,True,7.014894874388114,12,12,True,7.014894874388111,13547311.563656993,13537237.092501631,0.965955737028113,7.3421922275119735,4.8198450304880165,4.087139129687683,3.728475937938227,3.3904383420008766,2.6175818663589006,2.2535115156026446,1.6536187804481637,1.0466574851062767
4,18-19,15,45,3,9,9,9,True,8.286676239529575,12,12,True,8.286676239529582,24054607.867376607,21115304.64045769,0.896493793856245,7.238071855865868,5.279427827302866,4.141560344726012,3.7391154030923515,3.115245830081555,2.5552332068822423,2.0316570772532208,1.5747752631401066,0.8734589896656522
4,19-20,15,45,3,9,9,9,True,6.864976361903636,12,12,True,6.864976361903639,23676468.078206763,23269074.09046231,0.9062939674692814,7.315205437385046,5.355843691033883,4.22408919560093,3.6916121198248,2.7799373773128377,2.38186722113886,2.037578039819425,1.6258051781436555,1.0655834851784636
4,20-21,15,45,3,9,9,9,True,6.620704635558892,12,12,True,6.620704635558894,14622772.926565383,12767860.437331358,0.9698577383474544,7.38291580488862,4.980483012508026,4.156566857545805,3.882116633475723,3.303110070132628,2.4772537585823566,1.6793903455944938,1.4927446888839635,1.1151253848776153
4,21-22,15,45,3,9,9,9,True,5.620128652836296,12,12,True,6.045037090580771,25028553.84747523,18402332.4791102,0.8851501480175413,6.996973004116031,5.4077158568154395,4.140161859109375,3.727095294873871,3.1293659559396296,2.4829569822542634,2.3498534848516046,1.6543862888100163,1.244984489916416
4,22-23,15,45,3,9,9,9,True,5.715057734988963,12,12,True,6.229779865707891,4426898.458500274,2954524.396400988,0.996070422397576,7.210807955151166,5.222204214557111,4.248756573329252,3.719202451808631,2.7097919454135155,2.633662732722362,2.33740639208726,1.5855195856969324,1.2617209290826337
4,23-24,15,45,3,9,9,9,True,6.168334939923721,12,12,True,6.181103780516541,24571734.06213494,22564504.780810237,0.8944849791061537,7.154466654191965,5.2307143176907,4.100100103983917,3.7468059734249173,3.183930703287626,2.654256305890935,2.130041539829739,1.5934215116497081,1.1598700012033456
