horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
2,block_fe_2,block_fixed_effect,29818441.375000026,684427.8944845429,28702383.93333335,31017543.866666697,29818441.375000026,684427.8944845429
2,block_fe_3,block_fixed_effect,24414986.4375,985263.0141838834,21989765.933333345,26026609.200000018,24414986.4375,985263.0141838834
2,block_fe_4,block_fixed_effect,-12484871.74999999,1479510.2196051711,-16232644.533333313,-10107809.333333317,-12484871.74999999,1479510.2196051711
2,block_fe_5,block_fixed_effect,-65473595.99999998,1096935.8089639621,-68120743.79999997,-63839565.26666664,-65473595.99999998,1096935.8089639621
2,block_fe_6,block_fixed_effect,-69353253.75000001,884325.0733763124,-71333702.20000002,-68049077.93333335,-69353253.75000001,884325.0733763124
2,intercept,intercept,73054041.5,846828.844645808,71883554.86666664,75201240.93333334,77254988.93850757,10776554.137695443
2,rainfall_apr,weather,210152.68627854038,725059.200457843,0.0010432494531255698,2908775.945920397,7741.9146793500995,26745.83107534086
2,rainfall_dec,weather,-180610.53108570512,820243.2916830177,-3245617.738917972,268918.1983614028,-3613.9464288071167,16592.68388345651
2,rainfall_feb,weather,-165705.35150693657,774936.3969770608,-3059100.3012768696,258576.76914788218,-3422.5410609581654,16036.580523030098
2,rainfall_jan,weather,-147762.23691426002,527615.6087929374,-2108827.8448996795,22733.88219718701,-2204.2357615897404,7842.382309530189
2,rainfall_mar,weather,13466.207132035475,112509.73914813991,-236452.6475525247,357781.57418537396,391.31276077173584,3015.8757399882525
2,rainfall_nov,weather,332937.86738589057,1186119.878639186,0.006655175450397711,4756922.415774265,7114.70688041062,25351.309954855664
2,rainfall_oct,weather,-94354.94710941549,280721.5199900711,-1097171.8016353936,-0.003534088471866787,-2288.9212537520543,6726.1901628376645
2,rainfall_sep,weather,76637.02907187711,187027.06765416314,0.012956775588059317,647575.198272107,1808.5373294441908,4428.401260982654
2,temperature_apr,weather,-22872.863403085623,72154.86870768365,-286295.611644374,-0.004467823044081737,-25196.929371603375,82190.25750872388
2,temperature_dec,weather,-51933.777698174854,143175.60135719404,-484147.5067274843,0.0009084579894889231,-73123.98066662007,199839.15139435866
2,temperature_feb,weather,-120326.88898909002,437673.91366061324,-1756556.5736308347,-0.0027112738906467397,-127938.76946776146,461085.1449036357
2,temperature_jan,weather,-137058.4786679824,506746.7129013635,-2033488.0186456663,-0.0009434225722963117,-124736.35681234788,458947.13139235333
2,temperature_mar,weather,-171011.14680688485,632226.5687203598,-2538478.813823927,-0.001066866370617635,-146707.58598881424,536969.2551717531
2,temperature_nov,weather,286221.83783442824,1191617.009764861,-182196.7054905902,4751497.9588185735,298875.1065948825,1261068.142846287
2,temperature_oct,weather,70911.15675933182,193472.17705322464,0.007876038039488506,690089.099274038,51186.281995173726,138441.85312134537
2,temperature_sep,weather,-26674.065889776393,121976.23416786997,-454898.5027376976,130738.59639022092,-17593.610279392455,80658.87149736048
3,block_fe_2,block_fixed_effect,30444631.81249996,1318640.6145853857,26979450.133333303,32379291.533333316,30444631.81249996,1318640.6145853857
3,block_fe_3,block_fixed_effect,-53798467.75,2072679.4055361047,-59074454.599999994,-50939252.60000001,-53798467.75,2072679.4055361047
3,block_fe_4,block_fixed_effect,-117302049.75000001,1153523.571048328,-120325335.6666667,-115849656.20000002,-117302049.75000001,1153523.571048328
3,intercept,intercept,121475460.25000001,1114956.8390870912,120109084.66666669,124658211.26666668,127776881.40776259,16124457.450201169
3,rainfall_apr,weather,315229.02941789344,1087588.8006870933,0.0015648741796883555,4363163.918881921,11612.872019028206,40118.74661302342
3,rainfall_dec,weather,-270915.7966287846,1230364.937525431,-4868426.608380589,403377.29754210403,-5420.9196432152585,24889.025825203018
3,rainfall_feb,weather,-248558.02726041424,1162404.595465629,-4588650.451915455,387865.15372182336,-5133.811591437442,24054.870784545918
3,rainfall_jan,weather,-221643.3553712853,791423.4131889909,-3163241.767347844,34100.82329578052,-3306.3536423830546,11763.57346428912
3,rainfall_mar,weather,20199.31069800616,168764.6087220563,-354678.9713287871,536672.3612773082,586.9691411563564,4523.813609978368
3,rainfall_nov,weather,499406.80107880203,1779179.8179586446,0.009982763175596559,7135383.623660857,10672.060320615208,38026.964932280614
3,rainfall_oct,weather,-141532.42066425367,421082.2799856037,-1645757.7024551774,-0.00530113270780018,-3433.381880631188,10089.28524426824
3,rainfall_sep,weather,114955.54360810801,280540.6014821966,0.019435163382088973,971362.7974128376,2712.80599417325,6642.601891496823
3,temperature_apr,weather,-34309.295104710785,108232.30306151463,-429443.4174665604,-0.006701734566122603,-37795.39405748435,123285.38626307367
3,temperature_dec,weather,-77900.6665472286,214763.40203568267,-726221.260090688,0.001362686984233386,-109685.97099989383,299758.7270914511
3,temperature_feb,weather,-180490.33348380134,656510.870491583,-2634834.8604489127,-0.004066910835970109,-191908.15420181735,691627.7173561513
3,temperature_jan,weather,-205587.7180019725,760120.069352041,-3050232.027968482,-0.001415133858444466,-187104.53521852085,688420.6970885261
3,temperature_mar,weather,-256516.72021000655,948339.8530792587,-3807718.220730759,-0.0016002995559264521,-220061.3789829489,805453.8827565416
3,temperature_nov,weather,429332.75675155415,1787425.5146469388,-273295.0582358854,7127246.938226448,448312.6598922305,1891602.2142690578
3,temperature_oct,weather,106366.73513895305,290208.26557968435,0.011814057059232753,1035133.6489103417,76779.422992729,207662.77968191166
3,temperature_sep,weather,-40011.098834603115,182964.35125188963,-682347.7541065466,196107.89458631515,-26390.41541904938,120988.30724609336
4,block_fe_2,block_fixed_effect,-17888326.687499963,1972031.8296875209,-22945262.53333333,-15171613.466666594,-17888326.687499963,1972031.8296875209
4,block_fe_3,block_fixed_effect,-164645291.12499997,1479333.4610443185,-168156829.93333334,-162541522.79999995,-164645291.12499997,1479333.4610443185
4,intercept,intercept,175926524.375,1155896.5255800032,174419989.33333334,179104865.79999998,184328419.25201088,21513143.757556003
4,rainfall_apr,weather,420305.37255692226,1450118.4009150565,0.0020864989062511392,5817551.891838258,15483.829358694353,53491.6621506585
4,rainfall_dec,weather,-361221.0621711865,1640486.5833651433,-6491235.477832364,537836.3967228058,-7227.892857609713,33185.36776689501
4,rainfall_feb,weather,-331410.70301423647,1549872.793955569,-6118200.602559553,517153.5382957645,-6845.08212192385,32073.161046090136
4,rainfall_jan,weather,-295524.4738280893,1055231.217584167,-4217655.689792467,45467.76439437404,-4408.471523173082,15684.764619035026
4,rainfall_mar,weather,26932.414263658473,225019.47829493348,-472905.2951050498,715563.1483641487,782.6255215325361,6031.751479941335
4,rainfall_nov,weather,665875.7347722695,2372239.7572803153,0.013310350900795416,9513844.831556344,14229.41376083168,50702.61990975286
4,rainfall_oct,weather,-188709.89421890336,561443.0399804179,-2194343.603271945,-0.007068176943733575,-4577.842507505832,13452.380325681843
4,rainfall_sep,weather,153274.05814354093,374054.1353076317,0.02591355117611864,1295150.396540801,3617.0746588833013,8856.802521948643
4,temperature_apr,weather,-45745.72680640788,144309.73741533625,-572591.2232887469,-0.008935646088163473,-50393.85874343459,164380.51501741304
4,temperature_dec,weather,-103867.55539550235,286351.2027116596,-968295.0134414106,0.0018169159789778475,-146247.96133232754,399678.30278653355
4,temperature_feb,weather,-240653.77797813603,875347.8273210509,-3513113.1472609653,-0.005422547781293479,-255877.5389354766,922170.2898070868
4,temperature_jan,weather,-274116.9573355023,1013493.4258008809,-4066976.037283933,-0.0018868451445926218,-249472.71362427692,917894.2627830354
4,temperature_mar,weather,-342022.2936145886,1264453.1374439907,-5076957.627660957,-0.0021337327412352743,-293415.1719783243,1073938.5103462841
4,temperature_nov,weather,572443.6756685012,2383234.019528302,-364393.4109811811,9502995.917631462,597750.2131893894,2522136.2856910736
4,temperature_oct,weather,141822.31351832018,386944.3541052767,0.015752076078977006,1380178.1985425802,102372.56399010457,276883.70624187315
4,temperature_sep,weather,-53348.13177910473,243952.46833635663,-909797.005475395,261477.1927876104,-35187.220558498426,161317.74299510426
5,block_fe_2,block_fixed_effect,-115409696.68749997,1994000.3721892696,-120416341.93333331,-112505834.66666663,-115409696.68749997,1994000.3721892696
5,intercept,intercept,228477432.12499994,1074495.6103671133,226955863.79999995,231380654.0666666,239659326.01004785,29114949.81223998
5,rainfall_apr,weather,543823.948615206,1875706.6550176188,0.005146729082283468,7514629.701718578,20032.52045561065,69188.4550229458
5,rainfall_dec,weather,-462660.8897076906,2143172.8520659343,-8456912.921521127,878977.9872028704,-9230.019471624088,43380.19529121759
