horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
1,rainfall_mar,weather,-535684.7801629744,302802.6404278991,-1099879.2825069702,281249.3939008879,-14513.482292642175,8515.568534471906
1,rainfall_nov,weather,582317.6294598363,346676.61025294196,-51646.790655474586,1384507.593436348,12497.653598342353,7385.807926401499
1,rainfall_oct,weather,-532240.9417613209,383592.9212830834,-1223042.734824503,418655.17291767395,-13011.78046210904,9329.275600283794
1,rainfall_sep,weather,817422.6885789377,396898.1360566563,217817.56581569524,1821787.8442255724,19587.51010433534,9426.39585364361
2,block_fe_2,block_fixed_effect,29818441.375000004,684427.8944845331,28702383.933333337,31017543.866666637,29818441.375000004,684427.8944845331
2,block_fe_3,block_fixed_effect,24414986.437500004,985263.0141838914,21989765.933333304,26026609.199999962,24414986.437500004,985263.0141838914
2,block_fe_4,block_fixed_effect,-12484871.75000001,1479510.219605176,-16232644.533333372,-10107809.333333354,-12484871.75000001,1479510.219605176
2,block_fe_5,block_fixed_effect,-65473596.00000001,1096935.8089639682,-68120743.80000003,-63839565.266666666,-65473596.00000001,1096935.8089639682
2,block_fe_6,block_fixed_effect,-69353253.75,884325.0733763156,-71333702.20000005,-68049077.93333334,-69353253.75,884325.0733763156
2,intercept,intercept,73054041.5,846828.8446458128,71883554.86666666,75201240.93333335,46657208.8964854,41450224.62927155
2,growing_season_average_temperature,weather,835169.1955441067,1180049.5297058497,-2701283.684770745,2261975.9743698207,896699.581532711,1610612.4635216326
2,rainfall_apr,weather,1888974.9941196437,686066.9070757034,755775.365749438,2961121.013556191,70202.5983588089,25162.023798713333
2,rainfall_dec,weather,-244107.23569312092,813826.1795477021,-1674593.8901970242,1023193.3648703615,-4810.944443560547,16436.088904809567
2,rainfall_feb,weather,637951.8525816287,718730.8616491265,-522004.45436603273,2467590.0436315252,13430.380582892829,15100.773224394763
2,rainfall_jan,weather,-103710.74097489608,983314.8613967417,-2121351.812292591,1635304.8165593827,-1704.3421077241212,15053.118734722046
2,rainfall_mar,weather,-1071369.5603259592,605605.2808557943,-2199758.5650139614,562498.787801733,-29026.96458528467,17031.137068943706
2,rainfall_nov,weather,1164635.2589196654,693353.2205058803,-103293.58131095662,2769015.1868727007,24995.307196684553,14771.61585280293
2,rainfall_oct,weather,-1064481.8835226393,767185.8425661712,-2446085.469649025,837310.3458353628,-26023.56092421801,18658.551200567686
2,rainfall_sep,weather,1634845.3771578767,793796.2721133154,435635.1316313875,3643575.6884511467,39175.02020867071,18852.79170728728
3,block_fe_2,block_fixed_effect,30444631.81250001,1318640.6145853887,26979450.13333335,32379291.53333332,30444631.81250001,1318640.6145853887
3,block_fe_3,block_fixed_effect,-53798467.749999985,2072679.405536086,-59074454.59999997,-50939252.600000076,-53798467.749999985,2072679.405536086
3,block_fe_4,block_fixed_effect,-117302049.75,1153523.5710483044,-120325335.66666667,-115849656.20000002,-117302049.75,1153523.5710483044
3,intercept,intercept,121475460.24999999,1114956.839087089,120109084.66666669,124658211.26666665,81880211.34472813,62143976.350481085
3,growing_season_average_temperature,weather,1252753.793316162,1770074.2945587845,-4051925.527156229,3392963.961554733,1345049.3722990646,2415918.6952824728
3,rainfall_apr,weather,2833462.4911794607,1029100.3606135627,1133663.048624165,4441681.520334276,105303.89753821316,37743.03569807034
3,rainfall_dec,weather,-366160.8535396777,1220739.269321556,-2511890.8352955207,1534790.0473055511,-7216.416665340757,24654.13335721441
3,rainfall_feb,weather,956927.7788724226,1078096.292473709,-783006.6815490746,3701385.065447358,20145.570874338813,22651.15983659255
3,rainfall_jan,weather,-155566.11146234613,1474972.2920951275,-3182027.718438863,2452957.2248390336,-2556.5131615862106,22579.678102083322
