model,horizon,held_out_season,selected_alpha,term,term_type,coefficient_standardized,coefficient_raw
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_4,block_fixed_effect,29445600.933333356,29445600.933333356
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_5,block_fixed_effect,26971956.333333332,26971956.333333332
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_6,block_fixed_effect,19860099.73333335,19860099.73333335
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_7,block_fixed_effect,11372543.266666666,11372543.266666666
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_8,block_fixed_effect,-1744520.4666666668,-1744520.4666666668
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_9,block_fixed_effect,-18192043.533333313,-18192043.533333313
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_10,block_fixed_effect,-24967394.86666666,-24967394.86666666
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_11,block_fixed_effect,-25189968.999999985,-25189968.999999985
temperature_month_level_ridge,1,14-15,100000000.0,block_fe_12,block_fixed_effect,-21840904.399999987,-21840904.399999987
temperature_month_level_ridge,1,14-15,100000000.0,temperature_sep,weather,-0.006779314818392216,-0.004224730529306127
temperature_month_level_ridge,1,14-15,100000000.0,temperature_oct,weather,0.004787191698052713,0.0035993269378005862
temperature_month_level_ridge,1,14-15,100000000.0,temperature_nov,weather,0.00021735456169461994,0.0002142290406876086
temperature_month_level_ridge,1,14-15,100000000.0,temperature_dec,weather,-0.0013583604069295973,-0.001425951159456775
temperature_month_level_ridge,1,14-15,100000000.0,temperature_jan,weather,-0.0020778069176461307,-0.0018763495702308092
temperature_month_level_ridge,1,14-15,100000000.0,temperature_feb,weather,-0.0019261831725785055,-0.0022045924951941687
temperature_month_level_ridge,1,14-15,100000000.0,temperature_mar,weather,-0.0030201515573503672,-0.0025585760640579416
temperature_month_level_ridge,1,14-15,100000000.0,temperature_apr,weather,-0.004167873422453758,-0.0038994839947431212
temperature_month_level_ridge,1,14-15,100000000.0,growing_season_total_rainfall,weather,0.005688106129060625,2.884891515894099e-05
temperature_month_level_ridge,1,15-16,100000000.0,intercept,intercept,25504606.266666666,25504606.523771435
temperature_month_level_ridge,1,15-16,100000000.0,block_fe_2,block_fixed_effect,22692872.39999999,22692872.39999999
temperature_month_level_ridge,1,15-16,100000000.0,block_fe_3,block_fixed_effect,22707583.599999998,22707583.599999998
temperature_month_level_ridge,1,15-16,100000000.0,block_fe_4,block_fixed_effect,29444851.533333343,29444851.533333343
