horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
3,block_fe_2,block_fixed_effect,30444631.812499955,1318640.6145853896,26979450.133333296,32379291.5333333,30444631.812499955,1318640.6145853896
3,block_fe_3,block_fixed_effect,-53798467.75,2072679.4055361084,-59074454.60000001,-50939252.60000001,-53798467.75,2072679.4055361084
3,block_fe_4,block_fixed_effect,-117302049.75000003,1153523.5710483328,-120325335.66666672,-115849656.2,-117302049.75000003,1153523.5710483328
3,intercept,intercept,121475460.25000001,1114956.8390870914,120109084.6666667,124658211.26666668,122394455.16885023,3999014.6786899925
3,growing_season_average_temperature,weather,-44806.39205977454,141783.198695373,-560684.8880464607,0.0014752819962267692,-66783.43927319169,222283.99663424928
3,rainfall_apr,weather,67538.2509785715,178167.74969910245,0.0015648741021865847,572253.8483371006,2476.1396484066117,6510.888932792881
3,rainfall_dec,weather,55960.60862668841,151399.03942400042,0.01100892361351149,564675.7758964442,1200.1713061044436,3332.0787665528896
3,rainfall_feb,weather,69630.6713187091,176718.54942461482,0.011920092003226121,547865.4890298345,1464.8893025656394,3722.995238955496
3,rainfall_jan,weather,-16039.871003052736,74075.14418490157,-288374.80616920895,53528.06339679502,-246.26285034135697,1147.4930704975816
3,rainfall_mar,weather,-1153.8957438993418,118513.28385298874,-332438.7206964245,316511.4135977267,86.95793766036931,3502.988852216709
3,rainfall_nov,weather,67980.55229105458,197138.3020695859,0.009982763229483242,773507.4990802425,1449.9381558979226,4205.042637776602
3,rainfall_oct,weather,-59077.175974862665,164453.99170592375,-615406.245936746,-0.005301132883726601,-1484.0975476189296,4191.1576639475215
3,rainfall_sep,weather,83131.78604899195,208851.50872665457,0.019435163429631547,661162.9613891005,1944.757404017729,4879.461596662035
4,block_fe_2,block_fixed_effect,-17888326.687499963,1972031.829687512,-22945262.5333333,-15171613.466666594,-17888326.687499963,1972031.829687512
4,block_fe_3,block_fixed_effect,-164645291.12499997,1479333.4610443122,-168156829.9333333,-162541522.8,-164645291.12499997,1479333.4610443122
4,intercept,intercept,175926524.375,1155896.5255799936,174419989.3333334,179104865.79999998,177151850.93346697,5370352.983169887
4,growing_season_average_temperature,weather,-59741.85607969939,189044.26492716398,-747579.8507286143,0.001967042661635694,-89044.58569758892,296378.66217899905
4,rainfall_apr,weather,90051.00130476194,237556.99959880314,0.002086498802915445,763005.1311161336,3301.5195312088144,8681.185243723838
4,rainfall_dec,weather,74614.14483558456,201865.38589866736,0.01467856481801532,752901.0345285927,1600.2284081392586,4442.771688737188
4,rainfall_feb,weather,92840.89509161211,235624.73256615296,0.015893456004301493,730487.3187064454,1953.185736754185,4963.993651940659
4,rainfall_jan,weather,-21386.494670736993,98766.85891320216,-384499.7415589455,71370.75119572673,-328.35046712180946,1529.990760663443
4,rainfall_mar,weather,-1538.5276585324798,158017.71180398518,-443251.62759523327,422015.21813030256,115.94391688049184,4670.651802955616
4,rainfall_nov,weather,90640.73638807274,262851.06942611426,0.013310350972644328,1031343.332106989,1933.2508745305624,5606.723517035464
4,rainfall_oct,weather,-78769.56796648353,219271.98894123163,-820541.6612489944,-0.007068177178302135,-1978.7967301585722,5588.210218596693
4,rainfall_sep,weather,110842.38139865597,278468.67830220616,0.02591355123950873,881550.6151854675,2593.0098720236397,6505.948795549382
5,block_fe_2,block_fixed_effect,-115409696.68749999,1994000.372189271,-120416341.93333331,-112505834.66666666,-115409696.68749999,1994000.372189271
5,intercept,intercept,228477432.12499994,1074495.6103671163,226955863.79999995,231380654.0666666,231400959.31716704,12417496.38865109
5,growing_season_average_temperature,weather,-115859.38561740522,395908.30608024675,-1582834.1656368214,0.0037325747771264697,-176161.23348645863,624632.1282463787
5,rainfall_apr,weather,160364.53363229937,446331.31833192,0.005146728950635217,1606200.2279502982,5869.111465563882,16294.125311842168
5,rainfall_dec,weather,135750.16168759792,394931.86911166174,0.02250871789791092,1516305.747347055,2935.531062595907,8750.968376711544
5,rainfall_feb,weather,146886.23573203225,386576.9920220558,0.022073757676837474,1234432.6416813645,3083.1432647602583,8101.44280849981
5,rainfall_jan,weather,-44088.76057889501,211855.57270065,-827562.5262182609,138851.01790794125,-676.9938496757769,3280.8994347784296
5,rainfall_mar,weather,-62209.663791083934,378941.6377525064,-1422530.718055147,438396.4005592818,-1491.1490493857298,10323.422890024467
5,rainfall_nov,weather,138774.42858001642,448878.61950443435,0.01474056829866126,1791720.8784350064,2960.207525907915,9573.53256111565
5,rainfall_oct,weather,-123602.62370490299,380572.17549701995,-1489871.2018483041,-0.005565987768559116,-3128.722377697891,9764.018704630345
5,rainfall_sep,weather,175060.1499205671,463355.79698714084,0.03748825637196718,1582134.8842516767,4092.044718338111,10820.210185747414
