model,horizon,held_out_season,term,term_type,coefficient
block_only_ols,3,18-19,intercept,intercept,120486186.66666661
block_only_ols,3,18-19,block_fe_2,block_fixed_effect,32379291.533333376
block_only_ols,3,18-19,block_fe_3,block_fixed_effect,-51977266.39999987
block_only_ols,3,18-19,block_fe_4,block_fixed_effect,-116306964.06666659
block_only_ols,3,19-20,intercept,intercept,121040551.73333326
block_only_ols,3,19-20,block_fe_2,block_fixed_effect,31045036.466666736
block_only_ols,3,19-20,block_fe_3,block_fixed_effect,-52933232.39999986
block_only_ols,3,19-20,block_fe_4,block_fixed_effect,-116899226.33333325
block_only_ols,3,20-21,intercept,intercept,120187579.73333329
block_only_ols,3,20-21,block_fe_2,block_fixed_effect,31176108.800000045
block_only_ols,3,20-21,block_fe_3,block_fixed_effect,-51581586.866666555
block_only_ols,3,20-21,block_fe_4,block_fixed_effect,-115849656.19999994
block_only_ols,3,21-22,intercept,intercept,121356469.19999993
block_only_ols,3,21-22,block_fe_2,block_fixed_effect,30772589.40000006
block_only_ols,3,21-22,block_fe_3,block_fixed_effect,-50939252.599999875
block_only_ols,3,21-22,block_fe_4,block_fixed_effect,-116909414.86666659
block_only_ols,3,22-23,intercept,intercept,122420190.8666666
block_only_ols,3,22-23,block_fe_2,block_fixed_effect,30270779.66666671
block_only_ols,3,22-23,block_fe_3,block_fixed_effect,-54527527.599999875
block_only_ols,3,22-23,block_fe_4,block_fixed_effect,-118128907.39999992
block_only_ols,3,23-24,intercept,intercept,121486673.53333327
block_only_ols,3,23-24,block_fe_2,block_fixed_effect,29399869.66666674
block_only_ols,3,23-24,block_fe_3,block_fixed_effect,-55537000.19999987
block_only_ols,3,23-24,block_fe_4,block_fixed_effect,-117387382.79999991
block_only_ols,3,24-25,intercept,intercept,120109084.66666661
block_only_ols,3,24-25,block_fe_2,block_fixed_effect,31734699.800000068
block_only_ols,3,24-25,block_fe_3,block_fixed_effect,-51888287.333333254
block_only_ols,3,24-25,block_fe_4,block_fixed_effect,-115850361.66666663
block_only_ols,3,25-26,intercept,intercept,121844987.79999995
block_only_ols,3,25-26,block_fe_2,block_fixed_effect,29308584.133333385
block_only_ols,3,25-26,block_fe_3,block_fixed_effect,-53765090.73333323
block_only_ols,3,25-26,block_fe_4,block_fixed_effect,-117656629.9333333
block_only_ols,4,10-11,intercept,intercept,174835635.73333335
block_only_ols,4,10-11,block_fe_2,block_fixed_effect,-16702972.933333354
block_only_ols,4,10-11,block_fe_3,block_fixed_effect,-163267133.20000005
block_only_ols,4,11-12,intercept,intercept,176667135.20000002
block_only_ols,4,11-12,block_fe_2,block_fixed_effect,-17290039.333333332
block_only_ols,4,11-12,block_fe_3,block_fixed_effect,-164690759.06666672
block_only_ols,4,12-13,intercept,intercept,179104865.8
block_only_ols,4,12-13,block_fe_2,block_fixed_effect,-22945262.533333343
block_only_ols,4,12-13,block_fe_3,block_fixed_effect,-168156829.93333334
block_only_ols,4,13-14,intercept,intercept,176603085.93333334
block_only_ols,4,13-14,block_fe_2,block_fixed_effect,-20305562.733333338
block_only_ols,4,13-14,block_fe_3,block_fixed_effect,-165834358.86666667
block_only_ols,4,14-15,intercept,intercept,176060429.3333333
block_only_ols,4,14-15,block_fe_2,block_fixed_effect,-17867173.40000001
block_only_ols,4,14-15,block_fe_3,block_fixed_effect,-164517564.06666666
block_only_ols,4,15-16,intercept,intercept,176863732.60000002
block_only_ols,4,15-16,block_fe_2,block_fixed_effect,-19569822.600000016
block_only_ols,4,15-16,block_fe_3,block_fixed_effect,-167313864.93333337
block_only_ols,4,16-17,intercept,intercept,175172805.73333332
block_only_ols,4,16-17,block_fe_2,block_fixed_effect,-17547764.999999974
block_only_ols,4,16-17,block_fe_3,block_fixed_effect,-164107609.13333336
block_only_ols,4,17-18,intercept,intercept,175653692.39999998
block_only_ols,4,17-18,block_fe_2,block_fixed_effect,-17836318.133333318
block_only_ols,4,17-18,block_fe_3,block_fixed_effect,-164671896.2
block_only_ols,4,18-19,intercept,intercept,174953766.13333333
block_only_ols,4,18-19,block_fe_2,block_fixed_effect,-15171613.466666669
block_only_ols,4,18-19,block_fe_3,block_fixed_effect,-163649877.20000002
block_only_ols,4,19-20,intercept,intercept,175617770.4666667
block_only_ols,4,19-20,block_fe_2,block_fixed_effect,-17499685.40000001
block_only_ols,4,19-20,block_fe_3,block_fixed_effect,-163978841.33333337
