model,horizon,held_out_season,training_seasons,training_observations,test_observations,selected_alpha,selected_alpha_at_minimum_grid,selected_alpha_at_maximum_grid,weather_rank,weather_condition_number,weather_effective_degrees_of_freedom,fold_rmse,fold_mae,fold_r_squared
joint_month_level_ridge,3,20-21,15,60,4,100000000.0,False,True,14,inf,1.5999999406810424e-07,13525270.752932088,11751189.783333343,0.9559855351799569
joint_month_level_ridge,3,21-22,15,60,4,100000000.0,False,True,14,inf,1.5999999456380308e-07,22114661.133007243,13367302.08854163,0.875658532592432
joint_month_level_ridge,3,22-23,15,60,4,100000000.0,False,True,14,inf,1.5999999411730325e-07,9950847.032930885,8196611.194653673,0.9627884670668552
joint_month_level_ridge,3,23-24,15,60,4,0.0001,True,False,14,inf,13.984484622986761,27681801.07705461,25182990.290376347,0.7806470734741493
joint_month_level_ridge,3,24-25,15,60,4,1.7782794100389228,False,False,14,inf,4.026903103277944,17437231.517319333,13243701.330970231,0.9199484609001567
joint_month_level_ridge,3,25-26,15,60,4,100000000.0,False,True,14,inf,1.599999944322103e-07,7533006.759774145,6215598.388825677,0.9840324000828574
joint_month_level_ridge,4,10-11,15,45,3,100000000.0,False,True,14,inf,1.5999999429765165e-07,10457218.225452492,7853989.602438741,0.9830342095261596
joint_month_level_ridge,4,11-12,15,45,3,10.0,False,False,14,inf,1.2275465488923878,17225047.467596512,16573287.521104194,0.9424526466820975
joint_month_level_ridge,4,12-13,15,45,3,100000000.0,False,True,14,inf,1.59999994040409e-07,34243976.97077979,28747377.23248367,0.7643003929106013
joint_month_level_ridge,4,13-14,15,45,3,100000000.0,False,True,14,inf,1.5999999415731483e-07,17889368.543554567,15625291.858834216,0.9414278876033857
joint_month_level_ridge,4,14-15,15,45,3,100000000.0,False,True,14,inf,1.5999999406112225e-07,3069678.353055035,2936507.7713935734,0.9983066996722478
joint_month_level_ridge,4,15-16,15,45,3,100000000.0,False,True,14,inf,1.5999999419111534e-07,19442798.576225106,18201927.962439742,0.8968846030829346
joint_month_level_ridge,4,16-17,15,45,3,100000000.0,False,True,14,inf,1.5999999425431352e-07,8186947.7547641825,7375531.829236772,0.9885690296542559
joint_month_level_ridge,4,17-18,15,45,3,100000000.0,False,True,14,inf,1.5999999427896766e-07,4261958.942905094,4229826.418047934,0.9966305716778773
joint_month_level_ridge,4,18-19,15,45,3,100000000.0,False,True,14,inf,1.599999941324262e-07,18447823.876954935,14609967.499248369,0.9391220366438914
joint_month_level_ridge,4,19-20,15,45,3,100000000.0,False,True,14,inf,1.5999999400829161e-07,4426897.802398333,3980464.9126989846,0.9967240843697933
joint_month_level_ridge,4,20-21,15,45,3,100000000.0,False,True,14,inf,1.599999940681042e-07,15041893.593884798,12065597.022223959,0.9681050895028109
joint_month_level_ridge,4,21-22,15,45,3,100000000.0,False,True,14,inf,1.599999945638031e-07,23702573.855797034,17490299.226851873,0.8969969835377131
joint_month_level_ridge,4,22-23,15,45,3,100000000.0,False,True,14,inf,1.5999999411730322e-07,11432528.630456353,10928814.926204955,0.9737921530387517
joint_month_level_ridge,4,23-24,15,45,3,0.0001,True,False,14,inf,13.984484622992923,34957827.20939725,33577320.3872048,0.7864342823679396
joint_month_level_ridge,4,24-25,15,45,3,1.7782794100389228,False,False,14,inf,4.026903103277944,21860057.391535025,17658268.44129363,0.9274180174207933
joint_month_level_ridge,4,25-26,15,45,3,100000000.0,False,True,14,inf,1.599999944322103e-07,4353379.441823572,4138894.5011783685,0.9966859251716222
joint_month_level_ridge,5,10-11,15,30,2,100000000.0,False,True,14,inf,1.5999999429765167e-07,12136878.053427316,9861050.300000027,0.9671361663178851
joint_month_level_ridge,5,11-12,15,30,2,17.78279410038923,False,False,14,inf,0.7632150119128225,22413591.1420157,21890025.86712072,0.8702335855031598
joint_month_level_ridge,5,12-13,15,30,2,100000000.0,False,True,14,inf,1.59999994040409e-07,40561005.48735124,40053161.966666654,-3.049966510122731
