season,period_end_date,region,sugar_tonnes
14-15,2015-01-01,sao_paulo,58194
14-15,2015-01-16,other_states,7836
14-15,2015-01-16,sao_paulo,6708
14-15,2015-02-01,other_states,10688
14-15,2015-02-01,sao_paulo,2834
14-15,2015-02-16,other_states,2249
14-15,2015-02-16,sao_paulo,2485
14-15,2015-03-01,other_states,1516
14-15,2015-03-01,sao_paulo,2520
14-15,2015-03-16,other_states,9138
14-15,2015-03-16,sao_paulo,14113
14-15,2015-04-01,other_states,104040
14-15,2015-04-01,sao_paulo,38630
15-16,2015-04-16,other_states,198267
15-16,2015-04-16,sao_paulo,197449
15-16,2015-05-01,other_states,332681
15-16,2015-05-01,sao_paulo,720560
15-16,2015-05-16,other_states,412302
15-16,2015-05-16,sao_paulo,810785
15-16,2015-06-01,other_states,572045
15-16,2015-06-01,sao_paulo,1403497
15-16,2015-06-16,other_states,615098
15-16,2015-06-16,sao_paulo,1361988
15-16,2015-07-01,other_states,768412
15-16,2015-07-01,sao_paulo,1761889
15-16,2015-07-16,other_states,446404
15-16,2015-07-16,sao_paulo,1005120
15-16,2015-08-01,other_states,800817
15-16,2015-08-01,sao_paulo,2004602
15-16,2015-08-16,other_states,899314
15-16,2015-08-16,sao_paulo,1983524
15-16,2015-09-01,other_states,885355
15-16,2015-09-01,sao_paulo,1965099
15-16,2015-09-16,other_states,609346
15-16,2015-09-16,sao_paulo,1062401
15-16,2015-10-01,other_states,739220
15-16,2015-10-01,sao_paulo,1656661
15-16,2015-10-16,other_states,549888
15-16,2015-10-16,sao_paulo,1549335
15-16,2015-11-01,other_states,672675
15-16,2015-11-01,sao_paulo,1507368
15-16,2015-11-16,other_states,396156
15-16,2015-11-16,sao_paulo,806468
15-16,2015-12-01,other_states,195195
15-16,2015-12-01,sao_paulo,511567
15-16,2015-12-16,other_states,159090
15-16,2015-12-16,sao_paulo,485323
15-16,2016-01-01,other_states,117508
15-16,2016-01-01,sao_paulo,270168
15-16,2016-01-16,other_states,2818
15-16,2016-01-16,sao_paulo,23644
15-16,2016-02-01,other_states,36713
15-16,2016-02-01,sao_paulo,56879
15-16,2016-02-16,other_states,17115
15-16,2016-02-16,sao_paulo,32619
15-16,2016-03-01,other_states,4121
15-16,2016-03-01,sao_paulo,8822
15-16,2016-03-16,other_states,67720
15-16,2016-03-16,sao_paulo,72808
15-16,2016-04-01,other_states,155772
15-16,2016-04-01,sao_paulo,308879
16-17,2016-04-16,other_states,432302
16-17,2016-04-16,sao_paulo,1005677
16-17,2016-05-01,other_states,518618
16-17,2016-05-01,sao_paulo,1294773
16-17,2016-05-16,other_states,557811
16-17,2016-05-16,sao_paulo,1513186
16-17,2016-06-01,other_states,536102
16-17,2016-06-01,sao_paulo,1151152
16-17,2016-06-16,other_states,534039
16-17,2016-06-16,sao_paulo,668858
16-17,2016-07-01,other_states,904945
16-17,2016-07-01,sao_paulo,1898143
16-17,2016-07-16,other_states,925443
16-17,2016-07-16,sao_paulo,1917031
16-17,2016-08-01,other_states,982268
16-17,2016-08-01,sao_paulo,2133903
16-17,2016-08-16,other_states,960391
16-17,2016-08-16,sao_paulo,2019084
16-17,2016-09-01,other_states,786264
16-17,2016-09-01,sao_paulo,1761325
16-17,2016-09-16,other_states,844677
16-17,2016-09-16,sao_paulo,1574074
16-17,2016-10-01,other_states,938336
16-17,2016-10-01,sao_paulo,2023924
16-17,2016-10-16,other_states,670627
16-17,2016-10-16,sao_paulo,1584127
16-17,2016-11-01,other_states,698425
16-17,2016-11-01,sao_paulo,1364036
16-17,2016-11-16,other_states,474316
16-17,2016-11-16,sao_paulo,892846
16-17,2016-12-01,other_states,327269
16-17,2016-12-01,sao_paulo,808978
16-17,2016-12-16,other_states,112657
16-17,2016-12-16,sao_paulo,262574
16-17,2017-01-01,other_states,35591
16-17,2017-01-01,sao_paulo,95873
16-17,2017-01-16,other_states,13150
16-17,2017-01-16,sao_paulo,22345
16-17,2017-02-01,other_states,10546
16-17,2017-02-01,sao_paulo,813
16-17,2017-02-16,other_states,1014
16-17,2017-02-16,sao_paulo,8120
16-17,2017-03-01,other_states,14309
16-17,2017-03-01,sao_paulo,4867
16-17,2017-03-16,other_states,19456
16-17,2017-03-16,sao_paulo,53156
16-17,2017-04-01,other_states,80819
16-17,2017-04-01,sao_paulo,189279
17-18,2017-04-16,other_states,208065
17-18,2017-04-16,sao_paulo,499152
17-18,2017-05-01,other_states,342993
17-18,2017-05-01,sao_paulo,789435
17-18,2017-05-16,other_states,629557
17-18,2017-05-16,sao_paulo,1486162
17-18,2017-06-01,other_states,583340
17-18,2017-06-01,sao_paulo,1175629
17-18,2017-06-16,other_states,714491
17-18,2017-06-16,sao_paulo,1675024
17-18,2017-07-01,other_states,946166
17-18,2017-07-01,sao_paulo,2038195
17-18,2017-07-16,other_states,1013698
17-18,2017-07-16,sao_paulo,2100562
17-18,2017-08-01,other_states,1100992
17-18,2017-08-01,sao_paulo,2323565
17-18,2017-08-16,other_states,1007219
17-18,2017-08-16,sao_paulo,2162659
17-18,2017-09-01,other_states,870237
17-18,2017-09-01,sao_paulo,1674985
17-18,2017-09-16,other_states,995626
17-18,2017-09-16,sao_paulo,2141772
17-18,2017-10-01,other_states,883582
17-18,2017-10-01,sao_paulo,1975274
17-18,2017-10-16,other_states,634302
17-18,2017-10-16,sao_paulo,1355914
17-18,2017-11-01,other_states,592118
17-18,2017-11-01,sao_paulo,1298721
17-18,2017-11-16,other_states,390048
17-18,2017-11-16,sao_paulo,864605
17-18,2017-12-01,other_states,258108
17-18,2017-12-01,sao_paulo,469783
17-18,2017-12-16,other_states,179357
17-18,2017-12-16,sao_paulo,331893
17-18,2018-01-01,other_states,48700
17-18,2018-01-01,sao_paulo,67433
17-18,2018-01-16,other_states,2828
